||||||||||||||
||||||||||||||
||||||||||||||
||||||||||||||
|||||Manchester|||||St. Andrew||||
||||||||||||||
|||||||||||High|"Most
Frequent"|Supply|Grade
Commodity||Variety / Source|||Low|High|"Most
Frequent"|Supply|Grade|Low||||
Sweet Pepper (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Green House (Local)|||484|550|517|Moderate|Excellent|-|-|-|-|-
Sweet Pepper (Yellow)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Potato||Local|||154|264|154|Moderate|Excellent|-|-|-|-|-
Thyme||Local|||660|660|660|Moderate|Excellent|880|880|880|Fair|Excellent
Tomatoes(Plummy)||Local|||286|374|308|Scarce|Excellent|176|220|220|Fair|Excellent
Tomatoes(Salad)||Local|||330|440|385|Scarce|Excellent|330|330|330|Fair|Excellent
Watermelon||Local|||176|198|187|Moderate|Excellent|-|-|-|-|-
Yam||Negro|||242|330|297|Moderate|Excellent|-|-|-|-|-
Yam||Sweet|||-|-|-|-|-|-|-|-|-|-
Yam||White (Lucea)|||264|330|293.33|Moderate|Excellent|-|-|-|-|-
Yam||Yellow|||440|484|462|Moderate|Excellent|-|-|-|-|-
||||||||||||||
||||||||||||||
||||||||||||||
|||||St. Catherine|||||Clarendon||||
||||||||||||||Grade
Commodity||Variety / Source|||Low|High|Most Frequent|Supply|Grade|Low|High|Most Frequent|Supply|
||||||||||||||
Broccoli||Local|||-|-|-|-|-|-|-|-|-|-
||||||||||||||
Cabbage (Green)||Local|||-|-|-|-|-|220|330|220|Moderate|Excellent
Cabbage (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Callaloo||Shredded|||-|-|-|-|-|-|-|-|-|-
Callaloo||Whole|||55|55|55|Moderate|Excellent|66|88|88|Moderate|Excellent
Cantaloupe||Local|||-|-|-|-|-|-|-|-|-|-
Carrot||Local|||-|-|-|-|-|154|264|176|Moderate|Excellent
Cauliflower||Local|||-|-|-|-|-|-|-|-|-|-
Coco||Local|||220|330|271.33|Scarce|Excellent|220|220|220|Moderate|Excellent
Cucumber||Local|||88|176|124.67|Scarce|Excellent|66|132|132|Moderate|Excellent
Dasheen||Local|||-|-|-|-|-|220|264|220|Moderate|Excellent
Escallion||Local|||-|-|-|-|-|-|-|-|-|-
Ginger||Local|||-|-|-|-|-|660|660|660|Moderate|Excellent
Green Banana||Local|||165|165|165|Moderate|Excellent|88|154|110|Moderate|Excellent
Gungo Peas||Dry|||-|-|-|-|-|-|-|-|-|-
Gungo Peas||Green|||-|-|-|-|-|-|-|-|-|-
Honeydew Melon||Local|||-|-|-|-|-|-|-|-|-|-
Irish Potato||Local|||-|-|-|-|-|352|440|396|Scarce|Excellent
Lettuce||Iceberg (Local)|||-|-|-|-|-|440|660|660|Moderate|Excellent
Lettuce||Other|||-|-|-|-|-|-|-|-|-|-
Lettuce||Romaine (Local)|||-|-|-|-|-|-|-|-|-|-
Okra||Local|||220|220|220|Moderate|Excellent|176|264|176|Moderate|Excellent
Onion||Local|||-|-|-|-|-|-|-|-|-|-
Pak Choi||Local|||-|-|-|-|-|154|220|220|Moderate|Excellent
Papaya||Local|||-|-|-|-|-|-|-|-|-|-
Pepper||Scotch Bonnet|||286|350|308|Scarce|Excellent|276|440|330|Moderate|Excellent
Pepper||West Indian Red|||-|-|-|-|-|110|176|139.33|Moderate|Excellent
Pineapple||Cow Boy|||-|-|-|-|-|132|132|132|Moderate|Excellent
Pineapple||MD 2|||-|-|-|-|-|-|-|-|-|-
Pineapple||Sugar Loaf|||-|-|-|-|-|110|110|110|Moderate|Excellent
Plantain||Green|||365.2|365.2|365.2|Moderate|Excellent|88|176|88|Scarce|Excellent
Plantain||Ripe|||-|-|-|-|-|154|154|154|Moderate|Excellent
Pumpkin||Local|||176|220|198|Scarce|Excellent|88|176|88|Moderate|Excellent
Sorrel||Local|||-|-|-|-|-|440|550|550|Moderate|Excellent
String Bean||Local|||-|-|-|-|-|352|352|352|Moderate|Excellent
Sweet Pepper (Green)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Green)||Local|||264|330|297|Scarce|Excellent|220|330|330|Moderate|Excellent
Sweet Pepper (Red)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Potato||Local|||176|220|198|Scarce|Excellent|176|286|198|Moderate|Excellent
Thyme||Local|||-|-|-|-|-|-|-|-|-|-
Tomatoes(Plummy)||Local|||220|330|330|Scarce|Excellent|220|330|275|Moderate|Excellent
Tomatoes(Salad)||Local|||-|-|-|-|-|220|330|275|Moderate|Excellent
Watermelon||Local|||-|-|-|-|-|110|176|143|Moderate|Excellent
Yam||Negro|||-|-|-|-|-|220|264|264|Moderate|Excellent
Yam||Sweet|||-|-|-|-|-|-|-|-|-|-
Yam||White (Lucea)|||-|-|-|-|-|220|264|264|Moderate|Excellent
Yam||Yellow|||440|660|550|Scarce|Excellent|330|440|385|Moderate|Excellent
||||||||||||||
||||||||||||||
||||||||||||||
|||||St. Elizabeth|||||Westmoreland||||
|||||Low|High|Most Frequent|Supply|Grade|Low|High|Most Frequent|Supply|Grade
Commodity||Variety / Source||||||||||||
Broccoli||Local|||880|1100|990|Scarce|Excellent|-|-|-|-|-
Cabbage (Green)||Local|||176|286|187|Moderate|Excellent|220|220|220|Scarce|Excellent
Cabbage (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Callaloo||Shredded|||-|-|-|-|-|-|-|-|-|-
Callaloo||Whole|||-|-|-|-|-|110|154|132|Fair|Excellent
Cantaloupe||Local|||132|154|143|Moderate|Excellent|-|-|-|-|-
Carrot||Local|||154|198|176|Moderate|Excellent|220|264|220|Scarce|Excellent
Cauliflower||Local|||440|550|495|Moderate|Excellent|-|-|-|-|-
Coco||Local|||264|308|286|Moderate|Excellent|176|220|220|Scarce|Excellent
Cucumber||Local|||88|132|110|Moderate|Excellent|176|220|220|Scarce|Excellent
Dasheen||Local|||330|330|330|Scarce|Excellent|176|220|220|Moderate|Excellent
Escallion||Local|||132|154|143|Moderate|Excellent|-|-|-|-|-
Ginger||Local|||-|-|-|-|-|-|-|-|-|-
Green Banana||Local|||77|88|82.5|Moderate|Excellent|110|155|132|Moderate|Excellent
Gungo Peas||Dry|||-|-|-|-|-|-|-|-|-|-
Gungo Peas||Green|||-|-|-|-|-|-|-|-|-|-
Honeydew Melon||Local|||154|176|165|Moderate|Excellent|-|-|-|-|-
Irish Potato||Local|||-|-|-|-|-|-|-|-|-|-
Lettuce||Iceberg (Local)|||440|616|550|Moderate|Excellent|-|-|-|-|-
Lettuce||Other|||-|-|-|-|-|-|-|-|-|-
Lettuce||Romaine (Local)|||-|-|-|-|-|-|-|-|-|-
Okra||Local|||-|-|-|-|-|220|264|264|Scarce|Excellent
Onion||Local|||-|-|-|-|-|-|-|-|-|-
Pak Choi||Local|||-|-|-|-|-|110|132|110|Moderate|Excellent
Papaya||Local|||132|154|143|Scarce|Excellent|176|198|176|Moderate|Excellent
Pepper||Scotch Bonnet|||264|330|297|Moderate|Excellent|330|440|386|Scarce|Excellent
Pepper||West Indian Red|||143|154|148.5|Moderate|Excellent|176|220|176|Fair|Excellent
Pineapple||Cow Boy|||176|198|187|Moderate|Excellent|176|220|187|Scarce|Excellent
Pineapple||MD 2|||198|220|209|Moderate|Excellent|-|-|-|-|-
Pineapple||Sugar Loaf|||-|-|-|-|-|-|-|-|-|-
Plantain||Green|||110|154|132|Moderate|Excellent|154|198|176|Moderate|Excellent
Plantain||Ripe|||-|-|-|-|-|-|-|-|-|-
Pumpkin||Local|||110|132|110|Moderate|Excellent|132|220|176|Moderate|Excellent
Sorrel||Local|||-|-|-|-|-|-|-|-|-|-
String Bean||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Green)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Green)||Local|||264|374|275|Moderate|Excellent|330|386|330|Scarce|Excellent
Sweet Pepper (Red)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Potato||Local|||154|220|176|Moderate|Excellent|154|220|176|Moderate|Excellent
Thyme||Local|||550|660|605|Moderate|Excellent|-|-|-|-|-
Tomatoes(Plummy)||Local|||264|352|330|Moderate|Excellent|286|330|330|Scarce|Excellent
Tomatoes(Salad)||Local|||264|330|286|Moderate|Excellent|-|-|-|-|-
Watermelon||Local|||110|154|143|Moderate|Excellent|-|-|-|-|-
Yam||Negro|||-|-|-|-|-|-|-|-|-|-
Yam||Sweet|||-|-|-|-|-|-|-|-|-|-
Yam||White (Lucea)|||-|-|-|-|-|286|330|330|Scarce|Excellent
Yam||Yellow|||-|-|-|-|-|-|-|-|-|-
||||||||||||||
||||||||||||||
||||||||||||||
||||||||||||||
|||||Hanover|||||St. James||||
|||||Low|High|Most Frequent|Supply|Grade|Low|High|Most Frequent|Supply|Grade
Commodity||Variety / Source||||||||||||
||||||||||||||
Broccoli||Local|||-|-|-|-|-|-|-|-|-|-
||||||||||||||
Cabbage (Green)||Local|||154|220|176|Moderate|Excellent|264|352|330|Scarce|Excellent
Cabbage (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Callaloo||Shredded|||-|-|-|-|-|-|-|-|-|-
Callaloo||Whole|||88|132|110|Moderate|Excellent|110|132|121|Moderate|Excellent
Cantaloupe||Local|||-|-|-|-|-|-|-|-|-|-
Carrot||Local|||220|330|264|Scarce|Excellent|-|-|-|-|-
Cauliflower||Local|||-|-|-|-|-|-|-|-|-|-
Coco||Local|||176|220|220|Moderate|Excellent|-|-|-|-|-
Cucumber||Local|||110|154|132|Moderate|Excellent|-|-|-|-|-
Dasheen||Local|||176|220|176|Moderate|Excellent|352|374|352|Scarce|Excellent
Escallion||Local|||-|-|-|-|-|-|-|-|-|-
Ginger||Local|||440|660|495|Moderate|Excellent|-|-|-|-|-
Green Banana||Local|||110|154|132|Moderate|Excellent|55|88|71.5|Moderate|Excellent
Gungo Peas||Dry|||-|-|-|-|-|-|-|-|-|-
Gungo Peas||Green|||-|-|-|-|-|-|-|-|-|-
Honeydew Melon||Local|||-|-|-|-|-|-|-|-|-|-
Irish Potato||Local|||-|-|-|-|-|-|-|-|-|-
Lettuce||Iceberg (Local)|||-|-|-|-|-|550|572|550|Scarce|Excellent
Lettuce||Other|||-|-|-|-|-|-|-|-|-|-
Lettuce||Romaine (Local)|||-|-|-|-|-|-|-|-|-|-
Okra||Local|||198|264|220|Moderate|Excellent|286|330|286|Moderate|Excellent
Onion||Local|||-|-|-|-|-|-|-|-|-|-
Pak Choi||Local|||132|220|154|Moderate|Excellent|286|330|330|Scarce|Excellent
Papaya||Local|||-|-|-|-|-|154|176|154|Moderate|Excellent
Pepper||Scotch Bonnet|||330|484|440|Moderate|Excellent|330|440|396|Scarce|Excellent
Pepper||West Indian Red|||154|220|198|Moderate|Excellent|-|-|-|-|-
Pineapple||Cow Boy|||154|220|220|Moderate|Excellent|176|220|176|Scarce|Excellent
Pineapple||MD 2|||-|-|-|-|-|-|-|-|-|-
Pineapple||Sugar Loaf|||-|-|-|-|-|-|-|-|-|-
Plantain||Green|||132|176|154|Moderate|Excellent|110|154|154|Moderate|Excellent
Plantain||Ripe|||-|-|-|-|-|-|-|-|-|-
Pumpkin||Local|||99|132|110|Moderate|Excellent|88|132|110|Fair|Excellent
Sorrel||Local|||-|-|-|-|-|-|-|-|-|-
String Bean||Local|||220|330|330|Moderate|Excellent|-|-|-|-|-
Sweet Pepper (Green)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Green)||Local|||220|330|330|Moderate|Excellent|-|-|-|-|-
Sweet Pepper (Red)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Potato||Local|||176|220|220|Moderate|Excellent|-|-|-|-|-
Thyme||Local|||-|-|-|-|-|-|-|-|-|-
Tomatoes(Plummy)||Local|||110|154|132|Moderate|Excellent|-|-|-|-|-
Tomatoes(Salad)||Local|||176|264|176|Moderate|Excellent|330|330|330|Scarce|Excellent
Watermelon||Local|||-|-|-|-|-|-|-|-|-|-
Yam||Negro|||-|-|-|-|-|264|286|286|Fair|Excellent
Yam||Sweet|||-|-|-|-|-|-|-|-|-|-
Yam||White (Lucea)|||396|484|440|Moderate|Excellent|-|-|-|-|-
Yam||Yellow|||396|484|440|Moderate|Excellent|374|396|374|Scarce|Excellent
||||||||||||||
||||||||||||||
||||||||||||||
|||||Trelawny|||||St. Ann||||
|||||Low|High|Most Frequent|Supply|Grade|Low|High|Most Frequent|Supply|Grade
Commodity||Variety / Source||||||||||||
Broccoli||Local|||-|-|-|-|-|-|-|-|-|-
Cabbage (Green)||Local|||220|264|242|Moderate|Excellent|176|264|220|Moderate|Excellent
Cabbage (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Callaloo||Shredded|||-|-|-|-|-|-|-|-|-|-
Callaloo||Whole|||-|-|-|-|-|-|-|-|-|-
Cantaloupe||Local|||-|-|-|-|-|-|-|-|-|-
Carrot||Local|||154|198|176|Moderate|Excellent|110|132|121|Moderate|Excellent
Cauliflower||Local|||-|-|-|-|-|-|-|-|-|-
Coco||Local|||-|-|-|-|-|-|-|-|-|-
Cucumber||Local|||-|-|-|-|-|-|-|-|-|-
Dasheen||Local|||-|-|-|-|-|-|-|-|-|-
Escallion||Local|||-|-|-|-|-|-|-|-|-|-
Ginger||Local|||-|-|-|-|-|-|-|-|-|-
Green Banana||Local|||-|-|-|-|-|44|66|55|Fair|Excellent
Gungo Peas||Dry|||-|-|-|-|-|-|-|-|-|-
Gungo Peas||Green|||-|-|-|-|-|-|-|-|-|-
Honeydew Melon||Local|||-|-|-|-|-|-|-|-|-|-
Irish Potato||Local|||-|-|-|-|-|-|-|-|-|-
Lettuce||Iceberg (Local)|||-|-|-|-|-|330|440|330|Moderate|Excellent
Lettuce||Other|||-|-|-|-|-|-|-|-|-|-
Lettuce||Romaine (Local)|||-|-|-|-|-|440|660|550|Scarce|Excellent
Okra||Local|||-|-|-|-|-|-|-|-|-|-
Onion||Local|||-|-|-|-|-|-|-|-|-|-
Pak Choi||Local|||-|-|-|-|-|110|132|110|Moderate|Excellent
Papaya||Local|||-|-|-|-|-|-|-|-|-|-
Pepper||Scotch Bonnet|||286|330|308|Moderate|Excellent|330|396|330|Moderate|Excellent
Pepper||West Indian Red|||-|-|-|-|-|132|176|154|Moderate|Excellent
Pineapple||Cow Boy|||-|-|-|-|-|-|-|-|-|-
Pineapple||MD 2|||-|-|-|-|-|-|-|-|-|-
Pineapple||Sugar Loaf|||-|-|-|-|-|-|-|-|-|-
Plantain||Green|||-|-|-|-|-|88|132|110|Moderate|Excellent
Plantain||Ripe|||-|-|-|-|-|-|-|-|-|-
Pumpkin||Local|||88|110|99|Moderate|Excellent|88|132|110|Moderate|Excellent
Sorrel||Local|||-|-|-|-|-|-|-|-|-|-
String Bean||Local|||-|-|-|-|-|330|374|330|Scarce|Excellent
Sweet Pepper (Green)||Green House (Local)|||374|418|396|Moderate|Excellent|-|-|-|-|-
Sweet Pepper (Green)||Local|||286|330|308|Moderate|Excellent|220|330|271.33|Moderate|Excellent
Sweet Pepper (Red)||Green House (Local)|||440|484|462|Scarce|Excellent|330|440|381.33|Moderate|Excellent
Sweet Pepper (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Potato||Local|||176|220|198|Moderate|Excellent|132|154|132|Moderate|Excellent
Thyme||Local|||-|-|-|-|-|-|-|-|-|-
Tomatoes(Plummy)||Local|||-|-|-|-|-|132|176|154|Scarce|Excellent
Tomatoes(Salad)||Local|||-|-|-|-|-|-|-|-|-|-
Watermelon||Local|||-|-|-|-|-|-|-|-|-|-
Yam||Negro|||286|330|308|Moderate|Excellent|-|-|-|-|-
Yam||Sweet|||-|-|-|-|-|-|-|-|-|-
Yam||White (Lucea)|||286|330|308|Moderate|Excellent|-|-|-|-|-
Yam||Yellow|||396|440|418|Moderate|Excellent|330|440|381.33|Moderate|Excellent
||||||||||||||
||||||||||||||
||||||||||||||
||||||||||||||
|||||St. Mary|||||Portland||||
|||||Low|High|Most Frequent|Supply|Grade|Low|High|Most Frequent|Supply|Grade
Commodity||Variety / Source||||||||||||
Broccoli||Local|||-|-|-|-|-|-|-|-|-|-
Cabbage (Green)||Local|||220|264|220|Moderate|Excellent|176|242|220|Scarce|Excellent
Cabbage (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Callaloo||Shredded|||-|-|-|-|-|-|-|-|-|-
Callaloo||Whole|||88|154|88|Moderate|Excellent|154|220|176|Scarce|Excellent
Cantaloupe||Local|||-|-|-|-|-|-|-|-|-|-
Carrot||Local|||198|264|209|Scarce|Excellent|-|-|-|-|-
Cauliflower||Local|||-|-|-|-|-|-|-|-|-|-
Coco||Local|||220|330|264|Moderate|Excellent|198|396|264|Fair|Excellent
Cucumber||Local|||88|176|110|Fair|Excellent|-|-|-|-|-
Dasheen||Local|||242|330|330|Moderate|Excellent|264|396|330|Scarce|Excellent
Escallion||Local|||-|-|-|-|-|330|330|330|Scarce|Excellent
Ginger||Local|||-|-|-|-|-|440|550|495|Scarce|Excellent
Green Banana||Local|||66|132|66|Good|Excellent|66|88|77|Average|Excellent
Gungo Peas||Dry|||-|-|-|-|-|-|-|-|-|-
Gungo Peas||Green|||-|-|-|-|-|-|-|-|-|-
Honeydew Melon||Local|||-|-|-|-|-|-|-|-|-|-
Irish Potato||Local|||-|-|-|-|-|-|-|-|-|-
Lettuce||Iceberg (Local)|||-|-|-|-|-|-|-|-|-|-
Lettuce||Other|||-|-|-|-|-|-|-|-|-|-
Lettuce||Romaine (Local)|||-|-|-|-|-|-|-|-|-|-
Okra||Local|||220|286|220|Scarce|Excellent|176|220|198|Scarce|Excellent
Onion||Local|||-|-|-|-|-|-|-|-|-|-
Pak Choi||Local|||110|220|161.33|Moderate|Excellent|154|176|165|Scarce|Excellent
Papaya||Local|||154|176|154|Average|Excellent|110|220|110|Scarce|Excellent
Pepper||Scotch Bonnet|||198|330|264|Moderate|Excellent|176|220|198|Moderate|Excellent
Pepper||West Indian Red|||110|154|154|Fair|Excellent|132|176|154|Scarce|Excellent
Pineapple||Cow Boy|||-|-|-|-|-|-|-|-|-|-
Pineapple||MD 2|||215|253|253|Good|Excellent|176|220|198|Moderate|Excellent
Pineapple||Sugar Loaf|||132|264|220|Moderate|Excellent|176|220|198|Moderate|Excellent
Plantain||Green|||88|132|88|Average|Excellent|110|176|143|Fair|Excellent
Plantain||Ripe|||110|176|132|Fair|Excellent|176|220|198|Moderate|Excellent
Pumpkin||Local|||88|176|176|Moderate|Excellent|154|176|165|Scarce|Excellent
Sorrel||Local|||-|-|-|-|-|-|-|-|-|-
String Bean||Local|||330|440|396|Scarce|Excellent|-|-|-|-|-
Sweet Pepper (Green)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Green)||Local|||220|440|330|Scarce|Excellent|330|440|440|Scarce|Excellent
Sweet Pepper (Red)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Red)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Green House (Local)|||-|-|-|-|-|-|-|-|-|-
Sweet Pepper (Yellow)||Local|||-|-|-|-|-|-|-|-|-|-
Sweet Potato||Local|||154|330|220|Fair|Excellent|220|264|220|Scarce|Excellent
Thyme||Local|||-|-|-|-|-|-|-|-|-|-
Tomatoes(Plummy)||Local|||198|330|330|Scarce|Excellent|220|330|330|Scarce|Excellent
Tomatoes(Salad)||Local|||330|550|330|Scarce|Excellent|-|-|-|-|-
Watermelon||Local|||154|154|154|Fair|Excellent|220|220|220|Moderate|Excellent
Yam||Negro|||-|-|-|-|-|-|-|-|-|-
Yam||Sweet|||-|-|-|-|-|-|-|-|-|-
Yam||White (Lucea)|||-|-|-|-|-|-|-|-|-|-
Yam||Yellow|||440|550|498.67|Scarce|Excellent|440|550|495|Scarce|Excellent
||||||||||||||
||||||||||||||
||||||||||||||
|||||St. Thomas|||||||||
|||||Low|High|Most Frequent|Supply|Grade|||||
Commodity||Variety / Source||||||||||||
Broccoli||Local|||770|880|770|Moderate|Excellent|||||
Cabbage (Green)||Local|||154|220|176|Moderate|Excellent|||||
Cabbage (Red)||Local|||-|-|-|-|-|||||
Callaloo||Shredded|||-|-|-|-|-|||||
Callaloo||Whole|||77|132|99|Moderate|Excellent|||||
Cantaloupe||Local|||-|-|-|-|-|||||
Carrot||Local|||154|287|220|Moderate|Excellent|||||
Cauliflower||Local|||-|-|-|-|-|||||
Coco||Local|||176|264|220|Moderate|Excellent|||||
Cucumber||Local|||66|176|88|Moderate|Excellent|||||
Dasheen||Local|||154|264|220|Moderate|Excellent|||||
Escallion||Local|||220|220|220|Moderate|Excellent|||||
Ginger||Local|||550|660|660|Moderate|Excellent|||||
Green Banana||Local|||66|110|88|Moderate|Excellent|||||
Gungo Peas||Dry|||264|330|330|Moderate|Excellent|||||
Gungo Peas||Green|||-|-|-|-|-|||||
Honeydew Melon||Local|||-|-|-|-|-|||||
Irish Potato||Local|||-|-|-|-|-|||||
Lettuce||Iceberg (Local)|||330|440|440|Moderate|Excellent|||||
Lettuce||Other|||-|-|-|-|-|||||
Lettuce||Romaine (Local)|||440|550|550|Scarce|Excellent|||||
Okra||Local|||132|220|176|Moderate|Excellent|||||
Onion||Local|||-|-|-|-|-|||||
Pak Choi||Local|||88|154|110|Moderate|Excellent|||||
Papaya||Local|||132|330|220|Scarce|Excellent|||||
Pepper||Scotch Bonnet|||264|440|330|Moderate|Excellent|||||
Pepper||West Indian Red|||110|264|110|Moderate|Excellent|||||
Pineapple||Cow Boy|||176|264|198|Moderate|Excellent|||||
Pineapple||MD 2|||176|220|198|Scarce|Excellent|||||
Pineapple||Sugar Loaf|||176|264|220|Moderate|Excellent|||||
Plantain||Green|||77|132|82.5|Moderate|Excellent|||||
Plantain||Ripe|||154|264|220|Moderate|Excellent|||||
Pumpkin||Local|||77|176|110|Moderate|Excellent|||||
Sorrel||Local|||330|440|385|Moderate|Excellent|||||
String Bean||Local|||264|330|330|Moderate|Excellent|||||
Sweet Pepper (Green)||Green House (Local)|||-|-|-|-|-|||||
Sweet Pepper (Green)||Local|||264|396|330|Moderate|Excellent|||||
Sweet Pepper (Red)||Green House (Local)|||-|-|-|-|-|||||
Sweet Pepper (Red)||Local|||-|-|-|-|-|||||
Sweet Pepper (Yellow)||Green House (Local)|||-|-|-|-|-|||||
Sweet Pepper (Yellow)||Local|||-|-|-|-|-|||||
Sweet Potato||Local|||176|264|220|Moderate|Excellent|||||
Thyme||Local|||440|660|550|Moderate|Excellent|||||
Tomatoes(Plummy)||Local|||220|330|242|Moderate|Excellent|||||
Tomatoes(Salad)||Local|||132|198|161.33|Moderate|Excellent|||||
Watermelon||Local|||88|176|132|Moderate|Excellent|||||
Yam||Negro|||308|330|330|Moderate|Excellent|||||
Yam||Sweet|||-|-|-|-|-|||||
Yam||White (Lucea)|||-|-|-|-|-|||||
Yam||Yellow|||330|440|330|Moderate|Excellent|||||
