||||"Urban Municipal Market Prices (J$/Kg)
Week Ending May 08, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local||||1540|||1540|1540|||||660||660|660||1540|1540||1540
Cabbage (Green)||Local||||220|||220|220|||||66||88|88||220|220||220
Cabbage (Red)||Local|||||||n/a||||||660||660|660||770|770||770
Callaloo||Shredded||||330|||330|330|||||110||132|110||330|330||330
Callaloo||Whole||||220|||220|220|||||88||88|88||330|330||330
Cantaloupe||Local||||330|||374|374|||||352||352|352||440|440||440
Carrot||Local||||330|||440|330|||||154||220|154||440|440||440
Cauliflower||Local||||1100|||1100|1100|||||330||440|330||880|1100||990
Coco||Local||||440|||440|440|||||220||264|264||440|440||440
Cucumber||Local||||220|||220|220|||||132||176|154||220|220||220
Dasheen||Local||||440|||440|440|||||220||286|264||440|440||440
Escallion||Local||||330|||440|385|||||132||176|132||440|440||440
Ginger||Local||||660|||880|660|||||286||330|330||660|660||660
Green Banana||Local||||132|||176|154|||||66||88|88||132|176||154
Gungo Peas||Dry|||||||n/a||||||||n/a||||n/a||
Gungo Peas||Green|||||||n/a||||||||n/a||||n/a||
Honeydew Melon||Local|||||||n/a||||||220||330|275|||n/a||
Irish Potato||Local||||330|||440|330|||||176||264|242||330|330||330
Lettuce||Iceberg (Local)||||440|||440|440|||||220||330|275||440|440||440
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||220|||330|220|||||88||110|110||330|330||330
Onion||Local|||||||n/a||||||||n/a||||n/a||
Pak Choi||Local||||220|||330|220|||||110||154|110||220|220||220
Papaya||Local||||330|||440|330|||||220||264|264||330|440||330
Pepper||Scotch Bonnet||||1100|||1320|1210|||||220||330|220||1100|1100||1100
Pepper||West Indian Red|||||||n/a||||||||n/a|||660|770||715
Pineapple||Cow Boy||||330|||396|330|||||154||176|176||330|330||330
Pineapple||MD 2||||440|||550|440|||||352||352|352||440|440||440
Pineapple||Sugar Loaf||||440|||550|440|||||286||330|286||396|396||396
Plantain||Green||||220|||264|264|||||220||220|220||220|220||220
Plantain||Ripe||||264|||330|330|||||220||264|220||264|330||293.33
Pumpkin||Local||||330|||396|363|||||220||264|242||264|374||374
Sorrel||Local|||||||n/a||||||||n/a||||n/a||
String Bean||Local||||440|||440|440|||||330||440|440||440|550||440
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local||||440|||660|440|||||110||220|165||440|440||440
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||440|||440|440|||||220||264|264||396|440||440
Thyme||Local||||1320|||1320|1320|||||440||550|440||1100|1100||1100
Tomatoes(Plummy)||Local||||264|||330|264|||||88||132|121||220|220||220
Tomatoes(Salad)||Local||||330|||440|330|||||198||220|220||330|440||440
Watermelon||Local||||330|||330|330|||||198||220|220||264|330||293.33
Yam||Negro||||440|||440|440|||||286||286|286||330|330||330
Yam||Sweet|||||||n/a||||||||n/a||||n/a||
Yam||White (Lucea)||||440|||440|440|||||308||308|308||330|330||330
Yam||Yellow||||440|||440|440|||||308||308|308||374|396||374
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 5/7/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
