||||"Urban Municipal Market Prices (J$/Kg)
Week Ending February 20, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local||||1760|||1760|1760|||||1100||1320|1210||1540|1540||1540
Cabbage (Green)||Local||||264|||396|330|||||110||132|110||330|330||330
Cabbage (Red)||Local|||||||n/a||||||770||770|770|||n/a||
Callaloo||Shredded||||330|||330|330|||||330||440|330||330|330||330
Callaloo||Whole||||220|||220|220|||||110||110|110|||n/a||
Cantaloupe||Local|||||||n/a||||||330||440|385||330|330||330
Carrot||Local||||440|||660|550|||||220||330|220||550|550||550
Cauliflower||Local||||1320|||1320|1320|||||660||880|770|||n/a||
Coco||Local||||440|||440|440|||||176||220|220||330|396||363
Cucumber||Local||||220|||220|220|||||110||132|110||330|330||330
Dasheen||Local||||330|||330|330|||||264||264|264||330|396||363
Escallion||Local||||550|||550|550|||||220||220|220||440|550||495
Ginger||Local||||660|||660|660|||||330||330|330||660|660||660
Green Banana||Local||||110|||110|110|||||77||110|77||154|154||154
Gungo Peas||Dry|||||||n/a||||||550||660|605|||n/a||
Gungo Peas||Green|||||||n/a||||||||n/a||||n/a||
Honeydew Melon||Local|||||||n/a||||||440||440|440|||n/a||
Irish Potato||Local|||||||n/a||||||220||220|220||440|440||440
Lettuce||Iceberg (Local)||||440|||440|440|||||220||220|220||440|440||440
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||440|||440|440|||||110||132|110||220|220||220
Onion||Local|||||||n/a||||||396||396|396|||n/a||
Pak Choi||Local||||220|||220|220|||||110||154|110||220|220||220
Papaya||Local|||||||n/a||||||220||264|220||220|330||220
Pepper||Scotch Bonnet||||1100|||1100|1100|||||660||660|660|||n/a||
Pepper||West Indian Red|||||||n/a||||||330||440|440|||n/a||
Pineapple||Cow Boy||||330|||330|330|||||176||220|220||330|330||330
Pineapple||MD 2||||440|||440|440|||||||n/a|||396|396||396
Pineapple||Sugar Loaf||||440|||440|440|||||220||264|264||396|396||396
Plantain||Green||||220|||264|242|||||176||220|176||220|220||220
Plantain||Ripe||||330|||440|385|||||176||220|176||264|264||264
Pumpkin||Local||||330|||330|330|||||154||264|220||352|352||352
Sorrel||Local|||||||n/a||||||||n/a||||n/a||
String Bean||Local||||440|||440|440|||||330||330|330||440|440||440
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local||||880|||880|880|||||440||440|440||880|880||880
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||330|||330|330|||||176||176|176||330|330||330
Thyme||Local||||1540|||1540|1540|||||1320||1540|1430|||n/a||
Tomatoes(Plummy)||Local||||132|||176|132|||||66||66|66||110|132||121
Tomatoes(Salad)||Local|||||||n/a||||||154||220|176|||n/a||
Watermelon||Local||||264|||264|264|||||220||264|220||330|330||330
Yam||Negro||||440|||440|440|||||||n/a||||n/a||
Yam||Sweet||||550|||550|550|||||||n/a||||n/a||
Yam||White (Lucea)||||440|||440|440|||||110||154|110|||n/a||
Yam||Yellow||||330|||330|330|||||110||132|110|||n/a||
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 2/19/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
