||||"Urban Municipal Market Prices (J$/Kg)
Week Ending July 10, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local|||||||n/a||||||440||1320|880|||n/a||
Cabbage (Green)||Local||||330|||330|330|||||110||220|176||330|330||330
Cabbage (Red)||Local|||||||n/a||||||||n/a||||n/a||
Callaloo||Shredded||||440|||440|440|||||440||550|495||330|330||330
Callaloo||Whole||||330|||330|330|||||110||154|154||330|330||330
Cantaloupe||Local||||440|||440|440|||||264||264|264|||n/a||
Carrot||Local||||330|||550|440|||||88||176|88||264|330||330
Cauliflower||Local|||||||n/a||||||330||440|440|||n/a||
Coco||Local||||440|||440|440|||||176||220|176||330|330||330
Cucumber||Local||||330|||440|385|||||110||132|110||220|330||330
Dasheen||Local||||550|||550|550|||||286||330|330||440|440||440
Escallion||Local||||440|||660|550|||||176||220|220||440|440||440
Ginger||Local||||1100|||1320|1100|||||550||660|605||880|880||880
Green Banana||Local||||110|||154|110|||||77||77|77||154|154||154
Gungo Peas||Dry||||880|||880|880|||||||n/a||||n/a||
Gungo Peas||Green|||||||n/a||||||||n/a||||n/a||
Honeydew Melon||Local|||||||n/a||||||||n/a||||n/a||
Irish Potato||Local||||440|||550|440|||||264||308|308||440|440||440
Lettuce||Iceberg (Local)||||1540|||1760|1650|||||1100||1320|1100||1320|1320||1320
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||330|||484|407|||||154||176|154||330|462||396
Onion||Local|||||||n/a||||||||n/a||||n/a||
Pak Choi||Local||||330|||330|330|||||220||264|264||440|440||440
Papaya||Local||||330|||440|385|||||176||264|220|||n/a||
Pepper||Scotch Bonnet||||880|||880|880|||||440||550|440||990|990||990
Pepper||West Indian Red|||||||n/a||||||||n/a||||n/a||
Pineapple||Cow Boy||||220|||330|275|||||110||220|154||330|330||330
Pineapple||MD 2|||||||n/a||||||||n/a||||n/a||
Pineapple||Sugar Loaf||||330|||440|385|||||264||264|264|||n/a||
Plantain||Green||||330|||550|440|||||132||154|154||264|330||330
Plantain||Ripe||||330|||550|440|||||132||154|154||264|330||330
Pumpkin||Local|||||||n/a||||||88||154|132||220|220||220
Sorrel||Local|||||||n/a||||||550||550|550|||n/a||
String Bean||Local||||880|||880|880|||||440||550|495|||n/a||
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local||||660|||880|770|||||286||330|286||440|440||440
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||330|||440|385|||||132||220|176||330|330||330
Thyme||Local||||1100|||1100|1100|||||880||1320|1100|||n/a||
Tomatoes(Plummy)||Local||||440|||550|440|||||154||264|220||330|440||440
Tomatoes(Salad)||Local||||770|||770|770|||||550||550|550|||n/a||
Watermelon||Local||||220|||330|275|||||110||176|121|||n/a||
Yam||Negro|||||||n/a||||||||n/a||||n/a||
Yam||Sweet|||||||n/a||||||||n/a||||n/a||
Yam||White (Lucea)||||550|||660|605|||||440||440|440|||n/a||
Yam||Yellow||||550|||660|660|||||330||440|418||550|550||550
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 7/9/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
