||||"Urban Municipal Market Prices (J$/Kg)
Week Ending June 19, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local|||||||n/a||||||||n/a||||n/a||
Cabbage (Green)||Local||||264|||330|297|||||110||154|154||330|396||396
Cabbage (Red)||Local|||||||n/a||||||||n/a||||n/a||
Callaloo||Shredded||||330|||330|330|||||440||550|495||330|330||330
Callaloo||Whole||||220|||220|220|||||110||110|110||330|330||330
Cantaloupe||Local|||||||n/a||||||220||264|264||440|440||440
Carrot||Local||||220|||330|330|||||88||154|110||220|330||330
Cauliflower||Local|||||||n/a||||||660||660|660|||n/a||
Coco||Local||||440|||440|440|||||220||220|220||440|440||440
Cucumber||Local||||220|||330|271.33|||||110||154|121||220|264||220
Dasheen||Local||||440|||440|440|||||264||264|264||440|440||440
Escallion||Local||||440|||440|440|||||110||132|132||440|440||440
Ginger||Local||||880|||1100|990|||||440||550|484||770|880||880
Green Banana||Local||||110|||110|110|||||77||77|77||110|110||110
Gungo Peas||Dry|||||||n/a||||||660||660|660|||n/a||
Gungo Peas||Green||||1320|||1320|1320|||||||n/a||||n/a||
Honeydew Melon||Local|||||||n/a||||||||n/a||||n/a||
Irish Potato||Local||||440|||440|440|||||220||264|220||440|440||440
Lettuce||Iceberg (Local)||||880|||1100|990|||||770||1100|935||990|1100||1100
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local|||||||n/a||||||110||110|110||330|330||330
Onion||Local|||||||n/a||||||550||660|605|||n/a||
Pak Choi||Local||||330|||330|330|||||220||220|220||330|330||330
Papaya||Local||||396|||440|418|||||220||330|271.33||440|440||440
Pepper||Scotch Bonnet||||660|||880|770|||||440||440|440||660|770||715
Pepper||West Indian Red|||||||n/a||||||||n/a||||n/a||
Pineapple||Cow Boy||||220|||220|220|||||110||110|110||220|220||220
Pineapple||MD 2|||||||n/a||||||||n/a||||n/a||
Pineapple||Sugar Loaf||||264|||330|297|||||||n/a|||330|396||363
Plantain||Green||||330|||330|330|||||154||176|176||308|308||308
Plantain||Ripe||||440|||550|495|||||154||176|176||330|330||330
Pumpkin||Local||||264|||330|330|||||110||154|110||330|374||330
Sorrel||Local|||||||n/a||||||||n/a||||n/a||
String Bean||Local||||660|||770|715|||||440||440|440||660|660||660
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local||||440|||440|440|||||154||154|154||440|660||550
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||330|||374|330|||||110||176|154||440|440||440
Thyme||Local||||1100|||1320|1210|||||770||880|825||660|880||770
Tomatoes(Plummy)||Local||||264|||330|330|||||154||176|154||264|264||264
Tomatoes(Salad)||Local||||550|||660|605|||||||n/a|||440|440||440
Watermelon||Local||||264|||330|297|||||110||110|110||330|330||330
Yam||Negro|||||||n/a||||||||n/a||||n/a||
Yam||Sweet|||||||n/a||||||||n/a||||n/a||
Yam||White (Lucea)||||440|||440|440|||||||n/a||||n/a||
Yam||Yellow||||330|||440|385|||||220||330|330||550|550||550
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 6/18/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
