||||"Urban Municipal Market Prices (J$/Kg)
Week Ending February 27, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local||||1760|||1760|1760|||||1760||1760|1760||1760|1760||1760
Cabbage (Green)||Local||||220|||220|220|||||110||132|110||330|330||330
Cabbage (Red)||Local|||||||n/a||||||||n/a||||n/a||
Callaloo||Shredded||||330|||330|330|||||330||440|385||330|330||330
Callaloo||Whole||||220|||220|220|||||110||110|110||330|330||330
Cantaloupe||Local||||440|||440|440|||||330||440|385||330|330||330
Carrot||Local||||550|||550|550|||||176||264|220||550|550||550
Cauliflower||Local||||1320|||1320|1320|||||1320||1540|1430||1320|1540||1430
Coco||Local||||440|||440|440|||||440||440|440|||n/a||
Cucumber||Local||||220|||220|220|||||110||132|110||330|330||330
Dasheen||Local||||330|||330|330|||||220||264|242||330|330||330
Escallion||Local||||550|||660|550|||||264||264|264||550|550||550
Ginger||Local||||660|||660|660|||||330||330|330||660|660||660
Green Banana||Local||||110|||110|110|||||77||110|82.5||154|154||154
Gungo Peas||Dry|||||||n/a||||||550||660|605|||n/a||
Gungo Peas||Green||||880|||880|880|||||||n/a|||880|1100||990
Honeydew Melon||Local|||||||n/a||||||550||550|550|||n/a||
Irish Potato||Local||||330|||330|330|||||176||220|187||440|440||440
Lettuce||Iceberg (Local)||||440|||440|440|||||220||220|220||440|440||440
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||330|||330|330|||||110||132|110||330|330||330
Onion||Local|||||||n/a||||||||n/a||||n/a||
Pak Choi||Local||||330|||330|330|||||110||220|220||220|330||220
Papaya||Local||||330|||330|330|||||264||264|264|||n/a||
Pepper||Scotch Bonnet||||1100|||1100|1100|||||660||770|660||1320|1320||1320
Pepper||West Indian Red|||||||n/a||||||440||550|495|||n/a||
Pineapple||Cow Boy||||330|||330|330|||||220||264|264||330|330||330
Pineapple||MD 2|||||||n/a||||||||n/a||||n/a||
Pineapple||Sugar Loaf||||440|||440|440|||||330||330|330|||n/a||
Plantain||Green||||220|||264|242|||||176||220|176||220|264||264
Plantain||Ripe||||330|||330|330|||||176||220|176||264|330||297
Pumpkin||Local||||330|||330|330|||||220||220|220||330|330||330
Sorrel||Local||||770|||770|770|||||770||770|770||660|660||660
String Bean||Local||||440|||440|440|||||220||264|264||440|440||440
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local||||880|||880|880|||||440||440|440||660|660||660
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||440|||440|440|||||220||264|220||440|440||440
Thyme||Local||||1540|||1540|1540|||||1540||1540|1540||1320|1320||1320
Tomatoes(Plummy)||Local||||132|||220|176|||||66||88|66||176|176||176
Tomatoes(Salad)||Local||||440|||440|440|||||264||330|330|||n/a||
Watermelon||Local|||||||n/a||||||176||330|242|||n/a||
Yam||Negro|||||||n/a||||||||n/a||||n/a||
Yam||Sweet|||||||n/a||||||||n/a||||n/a||
Yam||White (Lucea)||||440|||440|440|||||176||176|176||440|440||440
Yam||Yellow||||440|||440|440|||||154||176|176||330|330||330
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 2/26/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
