||||"Urban Municipal Market Prices (J$/Kg)
Week Ending July 03, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local|||||||n/a||||||||n/a||||n/a||
Cabbage (Green)||Local||||330|||330|330|||||110||176|176||220|220||220
Cabbage (Red)||Local|||||||n/a||||||||n/a||||n/a||
Callaloo||Shredded||||440|||440|440|||||440||550|495||330|330||330
Callaloo||Whole||||330|||330|330|||||110||110|110||330|330||330
Cantaloupe||Local||||550|||660|605|||||220||264|220||440|440||440
Carrot||Local||||330|||440|330|||||66||132|66||220|330||330
Cauliflower||Local||||1320|||1320|1320|||||||n/a|||880|1100||990
Coco||Local||||440|||440|440|||||176||176|176||440|440||440
Cucumber||Local||||330|||330|330|||||132||176|132||220|220||220
Dasheen||Local||||440|||550|495|||||308||308|308||440|550||440
Escallion||Local||||330|||440|330|||||176||176|176||440|440||440
Ginger||Local||||880|||1100|990|||||550||550|550||880|880||880
Green Banana||Local||||110|||154|110|||||77||77|77||110|110||110
Gungo Peas||Dry|||||||n/a||||||550||550|550|||n/a||
Gungo Peas||Green|||||||n/a||||||||n/a||||n/a||
Honeydew Melon||Local||||440|||440|440|||||||n/a|||440|440||440
Irish Potato||Local|||||||n/a||||||264||330|330|||n/a||
Lettuce||Iceberg (Local)||||1320|||1320|1320|||||1100||1320|1100||1100|1320||1210
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||330|||440|385|||||110||176|110||440|440||440
Onion||Local|||||||n/a||||||||n/a||||n/a||
Pak Choi||Local||||330|||330|330|||||220||220|220||330|330||330
Papaya||Local||||330|||330|330|||||220||220|220||396|440||418
Pepper||Scotch Bonnet||||880|||1100|990|||||440||550|495||880|880||880
Pepper||West Indian Red|||||||n/a||||||||n/a||||n/a||
Pineapple||Cow Boy||||220|||220|220|||||110||176|110||220|220||220
Pineapple||MD 2|||||||n/a||||||||n/a||||n/a||
Pineapple||Sugar Loaf||||330|||330|330|||||220||220|220||396|396||396
Plantain||Green||||264|||330|264|||||154||154|154||330|440||385
Plantain||Ripe||||330|||330|330|||||154||154|154||330|330||330
Pumpkin||Local||||264|||330|297|||||110||132|110||330|330||330
Sorrel||Local|||||||n/a||||||||n/a||||n/a||
String Bean||Local||||550|||660|605|||||440||440|440||660|660||660
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local|||||||n/a||||||286||286|286||660|660||660
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||330|||440|330|||||132||154|132||396|440||418
Thyme||Local|||||||n/a||||||660||880|770||880|880||880
Tomatoes(Plummy)||Local||||330|||440|385|||||220||220|220||330|330||330
Tomatoes(Salad)||Local||||660|||660|660|||||330||550|440||550|550||550
Watermelon||Local||||330|||330|330|||||110||132|110|||n/a||
Yam||Negro|||||||n/a||||||||n/a||||n/a||
Yam||Sweet|||||||n/a||||||||n/a||||n/a||
Yam||White (Lucea)||||550|||550|550|||||||n/a||||n/a||
Yam||Yellow||||550|||550|550|||||396||440|418||550|550||550
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 7/2/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
