||||"Urban Municipal Market Prices (J$/Kg)
Week Ending January 16, 2021"|||||||||||||||||||
"Ministry of Industry, Commerce, Agriculture
& Fisheries"|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||||||||||||||||||
|||||||Papine||||||Coronation|||||||Cross Roads|||
|||||||||||||||||||||||
Commodity||Variety / Source||||Low|||High|Most Freq.|||||Low||High|Most Freq.||Low|High||Most Freq.
Broccoli||Local|||||||n/a||||||880||1760|1320|||n/a||
Cabbage (Green)||Local||||330|||440|440|||||220||220|220||330|330||330
Cabbage (Red)||Local|||||||n/a||||||||n/a||||n/a||
Callaloo||Shredded||||330|||330|330|||||330||484|418||330|330||330
Callaloo||Whole||||220|||220|220|||||110||154|110||330|330||330
Cantaloupe||Local|||||||n/a||||||440||660|440|||n/a||
Carrot||Local||||550|||660|550|||||220||330|297||440|550||550
Cauliflower||Local|||||||n/a||||||1100||1100|1100||1320|1320||1320
Coco||Local||||440|||550|495|||||330||440|440|||n/a||
Cucumber||Local||||330|||330|330|||||110||220|143||330|330||330
Dasheen||Local||||440|||440|440|||||440||440|440|||n/a||
Escallion||Local||||550|||660|660|||||220||330|275||330|440||440
Ginger||Local||||660|||660|660|||||330||330|330||660|660||660
Green Banana||Local||||110|||154|154|||||77||110|77||154|154||154
Gungo Peas||Dry|||||||n/a||||||660||660|660|||n/a||
Gungo Peas||Green||||550|||550|550|||||660||770|715||880|880||880
Honeydew Melon||Local|||||||n/a||||||||n/a||||n/a||
Irish Potato||Local|||||||n/a||||||374||374|374|||n/a||
Lettuce||Iceberg (Local)||||440|||440|440|||||220||330|275||440|440||440
Lettuce||Other|||||||n/a||||||||n/a||||n/a||
Lettuce||Romaine (Local)|||||||n/a||||||||n/a||||n/a||
Okra||Local||||440|||484|462|||||264||330|330||440|440||440
Onion||Local|||||||n/a||||||||n/a||||n/a||
Pak Choi||Local||||220|||330|220|||||110||176|110||220|220||220
Papaya||Local||||330|||440|385|||||264||330|264||330|330||330
Pepper||Scotch Bonnet||||1760|||1760|1760|||||440||880|880||1320|1320||1320
Pepper||West Indian Red||||1320|||1320|1320|||||||n/a||||n/a||
Pineapple||Cow Boy||||330|||330|330|||||264||352|264||352|352||352
Pineapple||MD 2||||440|||440|440|||||||n/a||||n/a||
Pineapple||Sugar Loaf||||440|||440|440|||||330||330|330|||n/a||
Plantain||Green||||330|||550|440|||||176||220|176||264|330||297
Plantain||Ripe||||330|||550|440|||||176||220|176||264|330||297
Pumpkin||Local||||330|||330|330|||||220||264|264||396|396||396
Sorrel||Local|||||||n/a||||||440||440|440|||n/a||
String Bean||Local||||660|||660|660|||||220||440|330|||n/a||
Sweet Pepper (Green)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Green)||Local||||880|||1100|880|||||550||660|660||880|880||880
Sweet Pepper (Red)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Red)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Green House (Local)|||||||n/a||||||||n/a||||n/a||
Sweet Pepper (Yellow)||Local|||||||n/a||||||||n/a||||n/a||
Sweet Potato||Local||||330|||440|330|||||176||220|176||396|440||440
Thyme||Local||||1760|||1760|1760|||||1320||1320|1320||1320|1320||1320
Tomatoes(Plummy)||Local||||330|||440|330|||||176||220|220||440|440||440
Tomatoes(Salad)||Local||||660|||660|660|||||440||550|440|||n/a||
Watermelon||Local||||550|||550|550|||||396||550|462|||n/a||
Yam||Negro|||||||n/a||||||||n/a||||n/a||
Yam||Sweet||||550|||550|550|||||220||330|275|||n/a||
Yam||White (Lucea)||||440|||440|440|||||110||176|176|||n/a||
Yam||Yellow||||330|||330|330|||||110||176|176||330|330||330
|||||||||||||||||||||||
"http://www.ja-mis.com
Prepared on 1/15/2021 by Agriculture Marketing Information Division"|||||||||||||||||||||||
