date|parish|commodity|variety source|low|high|most frequent|supply|grade
february_13_2021|St. Andrew|tomatoes(salad)|local|-|-|-|-|-
february_13_2021|St. Andrew|watermelon|local|-|-|-|-|-
february_13_2021|St. Andrew|yam|negro|-|-|-|-|-
february_13_2021|St. Andrew|yam|sweet|-|-|-|-|-
february_13_2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
february_13_2021|St. Andrew|yam|yellow|110|110|110|fair|excellent
february_13_2021|St. Catherine|broccoli|local|-|-|-|-|-
february_13_2021|St. Catherine|cabbage (green)|local|132|132|132|scarce|excellent
february_13_2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
february_13_2021|St. Catherine|callaloo|shredded|-|-|-|-|-
february_13_2021|St. Catherine|callaloo|whole|44|44|44|moderate|excellent
february_13_2021|St. Catherine|cantaloupe|local|-|-|-|-|-
february_13_2021|St. Catherine|carrot|local|-|-|-|-|-
february_13_2021|St. Catherine|cauliflower|local|-|-|-|-|-
february_13_2021|St. Catherine|coco|local|-|-|-|-|-
february_13_2021|St. Catherine|cucumber|local|66|88|66|moderate|excellent
february_13_2021|St. Catherine|dasheen|local|-|-|-|-|-
february_13_2021|St. Catherine|escallion|local|-|-|-|-|-
february_13_2021|St. Catherine|ginger|local|-|-|-|-|-
february_13_2021|St. Catherine|green banana|local|165|165|165|moderate|excellent
february_13_2021|St. Catherine|gungo peas|dry|-|-|-|-|-
february_13_2021|St. Catherine|gungo peas|green|176|220|198|moderate|excellent
february_13_2021|St. Catherine|honeydew melon|local|-|-|-|-|-
february_13_2021|St. Catherine|irish potato|local|220|264|220|moderate|excellent
february_13_2021|St. Catherine|lettuce|iceberg (local)|-|-|-|-|-
february_13_2021|St. Catherine|lettuce|other|220|220|220|scarce|excellent
february_13_2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
february_13_2021|St. Catherine|okra|local|110|110|110|fair|excellent
february_13_2021|St. Catherine|onion|local|-|-|-|-|-
february_13_2021|St. Catherine|pak choi|local|44|88|66|moderate|excellent
february_13_2021|St. Catherine|papaya|local|-|-|-|-|-
february_13_2021|St. Catherine|pepper|scotch bonnet|440|660|550|scarce|excellent
february_13_2021|St. Catherine|pepper|west indian red|-|-|-|-|-
february_13_2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
february_13_2021|St. Catherine|pineapple|md 2|-|-|-|-|-
february_13_2021|St. Catherine|pineapple|sugar loaf|-|-|-|-|-
