date|parish|commodity|variety source|low|high|most frequent|supply|grade
june_26_2021|St. Andrew|tomatoes(salad)|local|220|330|264|fair|excellent
june_26_2021|St. Andrew|watermelon|local|-|-|-|-|-
june_26_2021|St. Andrew|yam|negro|-|-|-|-|-
june_26_2021|St. Andrew|yam|sweet|-|-|-|-|-
june_26_2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
june_26_2021|St. Andrew|yam|yellow|-|-|-|-|-
june_26_2021|St. Catherine|broccoli|local|-|-|-|-|-
june_26_2021|St. Catherine|cabbage (green)|local|-|-|-|-|-
june_26_2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
june_26_2021|St. Catherine|callaloo|shredded|-|-|-|-|-
june_26_2021|St. Catherine|callaloo|whole|44|55|49.5|moderate|excellent
june_26_2021|St. Catherine|cantaloupe|local|-|-|-|-|-
june_26_2021|St. Catherine|carrot|local|110|110|110|scarce|excellent
june_26_2021|St. Catherine|cauliflower|local|-|-|-|-|-
june_26_2021|St. Catherine|coco|local|-|-|-|-|-
june_26_2021|St. Catherine|cucumber|local|66|132|99|moderate|excellent
june_26_2021|St. Catherine|dasheen|local|-|-|-|-|-
june_26_2021|St. Catherine|escallion|local|-|-|-|-|-
june_26_2021|St. Catherine|ginger|local|-|-|-|-|-
june_26_2021|St. Catherine|green banana|local|-|-|-|-|-
june_26_2021|St. Catherine|gungo peas|dry|-|-|-|-|-
june_26_2021|St. Catherine|gungo peas|green|-|-|-|-|-
june_26_2021|St. Catherine|honeydew melon|local|-|-|-|-|-
june_26_2021|St. Catherine|irish potato|local|-|-|-|-|-
june_26_2021|St. Catherine|lettuce|iceberg (local)|-|-|-|-|-
june_26_2021|St. Catherine|lettuce|other|-|-|-|-|-
june_26_2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
june_26_2021|St. Catherine|okra|local|88|110|88|scarce|excellent
june_26_2021|St. Catherine|onion|local|-|-|-|-|-
june_26_2021|St. Catherine|pak choi|local|-|-|-|-|-
june_26_2021|St. Catherine|papaya|local|-|-|-|-|-
june_26_2021|St. Catherine|pepper|scotch bonnet|176|330|330|moderate|excellent
june_26_2021|St. Catherine|pepper|west indian red|198|220|209|scarce|excellent
june_26_2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
june_26_2021|St. Catherine|pineapple|md 2|-|-|-|-|-
june_26_2021|St. Catherine|pineapple|sugar loaf|220|220|220|moderate|excellent
june_26_2021|St. Catherine|plantain|green|146|176|161|moderate|excellent
june_26_2021|St. Catherine|plantain|ripe|-|-|-|-|-
june_26_2021|St. Catherine|pumpkin|local|66|110|110|moderate|excellent
june_26_2021|St. Catherine|sorrel|local|-|-|-|-|-
june_26_2021|St. Catherine|string bean|local|220|220|220|scarce|excellent
june_26_2021|St. Catherine|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|St. Catherine|sweet pepper (green)|local|66|110|110|scarce|excellent
june_26_2021|St. Catherine|sweet pepper (red)|green house (local)|-|-|-|-|-
june_26_2021|St. Catherine|sweet pepper (red)|local|-|-|-|-|-
june_26_2021|St. Catherine|sweet pepper (yellow)|green house (local)|-|-|-|-|-
june_26_2021|St. Catherine|sweet pepper (yellow)|local|-|-|-|-|-
june_26_2021|St. Catherine|sweet potato|local|88|220|99|moderate|excellent
june_26_2021|St. Catherine|thyme|local|-|-|-|-|-
june_26_2021|St. Catherine|tomatoes(plummy)|local|66|154|102.67|scarce|excellent
june_26_2021|St. Catherine|tomatoes(salad)|local|110|264|198|scarce|excellent
june_26_2021|St. Catherine|watermelon|local|-|-|-|-|-
june_26_2021|St. Catherine|yam|negro|-|-|-|-|-
june_26_2021|St. Catherine|yam|sweet|-|-|-|-|-
june_26_2021|St. Catherine|yam|white (lucea)|-|-|-|-|-
june_26_2021|St. Catherine|yam|yellow|-|-|-|-|-
june_26_2021|Clarendon|broccoli|local|660|660|660|moderate|excellent
june_26_2021|Clarendon|cabbage (green)|local|88|176|132|moderate|excellent
june_26_2021|Clarendon|cabbage (red)|local|-|-|-|-|-
june_26_2021|Clarendon|callaloo|shredded|-|-|-|-|-
june_26_2021|Clarendon|callaloo|whole|55|88|66|moderate|excellent
june_26_2021|Clarendon|cantaloupe|local|-|-|-|-|-
june_26_2021|Clarendon|carrot|local|66|132|88|fair|excellent
june_26_2021|Clarendon|cauliflower|local|264|264|264|moderate|excellent
june_26_2021|Clarendon|coco|local|198|264|220|moderate|excellent
june_26_2021|Clarendon|cucumber|local|66|154|129.25|moderate|excellent
june_26_2021|Clarendon|dasheen|local|198|330|220|moderate|excellent
june_26_2021|Clarendon|escallion|local|-|-|-|-|-
june_26_2021|Clarendon|ginger|local|374|550|440|moderate|excellent
june_26_2021|Clarendon|green banana|local|44|88|66|fair|excellent
june_26_2021|Clarendon|gungo peas|dry|-|-|-|-|-
june_26_2021|Clarendon|gungo peas|green|-|-|-|-|-
june_26_2021|Clarendon|honeydew melon|local|-|-|-|-|-
june_26_2021|Clarendon|irish potato|local|176|220|187|moderate|excellent
june_26_2021|Clarendon|lettuce|iceberg (local)|550|880|550|scarce|excellent
june_26_2021|Clarendon|lettuce|other|-|-|-|-|-
june_26_2021|Clarendon|lettuce|romaine (local)|880|880|880|scarce|excellent
june_26_2021|Clarendon|okra|local|132|220|132|moderate|excellent
june_26_2021|Clarendon|onion|local|374|550|440|moderate|excellent
june_26_2021|Clarendon|pak choi|local|110|154|132|moderate|excellent
june_26_2021|Clarendon|papaya|local|132|154|143|moderate|excellent
june_26_2021|Clarendon|pepper|scotch bonnet|176|220|220|moderate|excellent
june_26_2021|Clarendon|pepper|west indian red|110|220|176|moderate|excellent
june_26_2021|Clarendon|pineapple|cow boy|-|-|-|-|-
june_26_2021|Clarendon|pineapple|md 2|-|-|-|-|-
june_26_2021|Clarendon|pineapple|sugar loaf|154|176|165|moderate|excellent
june_26_2021|Clarendon|plantain|green|88|154|132|moderate|excellent
june_26_2021|Clarendon|plantain|ripe|154|176|176|moderate|excellent
june_26_2021|Clarendon|pumpkin|local|66|132|66|fair|excellent
june_26_2021|Clarendon|sorrel|local|308|440|330|moderate|excellent
june_26_2021|Clarendon|string bean|local|220|264|242|moderate|excellent
june_26_2021|Clarendon|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|Clarendon|sweet pepper (green)|local|66|132|88|average|excellent
june_26_2021|Clarendon|sweet pepper (red)|green house (local)|-|-|-|-|-
june_26_2021|Clarendon|sweet pepper (red)|local|330|550|385|moderate|excellent
june_26_2021|Clarendon|sweet pepper (yellow)|green house (local)|-|-|-|-|-
june_26_2021|Clarendon|sweet pepper (yellow)|local|330|550|385|moderate|excellent
june_26_2021|Clarendon|sweet potato|local|110|176|154|moderate|excellent
june_26_2021|Clarendon|thyme|local|-|-|-|-|-
june_26_2021|Clarendon|tomatoes(plummy)|local|66|132|110|moderate|excellent
june_26_2021|Clarendon|tomatoes(salad)|local|121|308|220|moderate|excellent
june_26_2021|Clarendon|watermelon|local|66|88|77|moderate|excellent
june_26_2021|Clarendon|yam|negro|330|374|330|moderate|excellent
june_26_2021|Clarendon|yam|sweet|-|-|-|-|-
june_26_2021|Clarendon|yam|white (lucea)|-|-|-|-|-
june_26_2021|Clarendon|yam|yellow|220|440|352|moderate|excellent
june_26_2021|St. Elizabeth|broccoli|local|660|880|770|moderate|excellent
june_26_2021|St. Elizabeth|cabbage (green)|local|132|176|154|moderate|excellent
june_26_2021|St. Elizabeth|cabbage (red)|local|-|-|-|-|-
june_26_2021|St. Elizabeth|callaloo|shredded|-|-|-|-|-
june_26_2021|St. Elizabeth|callaloo|whole|-|-|-|-|-
june_26_2021|St. Elizabeth|cantaloupe|local|198|264|220|moderate|excellent
june_26_2021|St. Elizabeth|carrot|local|110|154|132|moderate|excellent
june_26_2021|St. Elizabeth|cauliflower|local|330|352|341|moderate|excellent
june_26_2021|St. Elizabeth|coco|local|220|264|242|moderate|excellent
june_26_2021|St. Elizabeth|cucumber|local|110|132|121|moderate|excellent
june_26_2021|St. Elizabeth|dasheen|local|220|264|242|moderate|excellent
june_26_2021|St. Elizabeth|escallion|local|132|154|143|moderate|excellent
june_26_2021|St. Elizabeth|ginger|local|-|-|-|-|-
june_26_2021|St. Elizabeth|green banana|local|66|77|71.5|moderate|excellent
june_26_2021|St. Elizabeth|gungo peas|dry|-|-|-|-|-
june_26_2021|St. Elizabeth|gungo peas|green|-|-|-|-|-
june_26_2021|St. Elizabeth|honeydew melon|local|242|264|253|moderate|excellent
june_26_2021|St. Elizabeth|irish potato|local|220|264|242|moderate|excellent
june_26_2021|St. Elizabeth|lettuce|iceberg (local)|352|440|385|scarce|excellent
june_26_2021|St. Elizabeth|lettuce|other|-|-|-|-|-
june_26_2021|St. Elizabeth|lettuce|romaine (local)|-|-|-|-|-
june_26_2021|St. Elizabeth|okra|local|-|-|-|-|-
june_26_2021|St. Elizabeth|onion|local|374|396|385|moderate|excellent
june_26_2021|St. Elizabeth|pak choi|local|-|-|-|-|-
june_26_2021|St. Elizabeth|papaya|local|132|154|143|moderate|excellent
june_26_2021|St. Elizabeth|pepper|scotch bonnet|154|220|198|moderate|excellent
june_26_2021|St. Elizabeth|pepper|west indian red|143|154|148.5|moderate|excellent
june_26_2021|St. Elizabeth|pineapple|cow boy|88|110|99|average|excellent
june_26_2021|St. Elizabeth|pineapple|md 2|132|154|143|moderate|excellent
june_26_2021|St. Elizabeth|pineapple|sugar loaf|-|-|-|-|-
june_26_2021|St. Elizabeth|plantain|green|110|154|132|moderate|excellent
june_26_2021|St. Elizabeth|plantain|ripe|-|-|-|-|-
june_26_2021|St. Elizabeth|pumpkin|local|66|110|88|moderate|excellent
june_26_2021|St. Elizabeth|sorrel|local|-|-|-|-|-
june_26_2021|St. Elizabeth|string bean|local|-|-|-|-|-
june_26_2021|St. Elizabeth|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|St. Elizabeth|sweet pepper (green)|local|88|176|121|moderate|excellent
june_26_2021|St. Elizabeth|sweet pepper (red)|green house (local)|-|-|-|-|-
june_26_2021|St. Elizabeth|sweet pepper (red)|local|-|-|-|-|-
june_26_2021|St. Elizabeth|sweet pepper (yellow)|green house (local)|-|-|-|-|-
june_26_2021|St. Elizabeth|sweet pepper (yellow)|local|-|-|-|-|-
june_26_2021|St. Elizabeth|sweet potato|local|110|176|132|moderate|excellent
june_26_2021|St. Elizabeth|thyme|local|396|550|440|moderate|excellent
june_26_2021|St. Elizabeth|tomatoes(plummy)|local|88|132|110|moderate|excellent
june_26_2021|St. Elizabeth|tomatoes(salad)|local|220|286|264|moderate|excellent
june_26_2021|St. Elizabeth|watermelon|local|88|110|99|moderate|excellent
june_26_2021|St. Elizabeth|yam|negro|-|-|-|-|-
june_26_2021|St. Elizabeth|yam|sweet|-|-|-|-|-
june_26_2021|St. Elizabeth|yam|white (lucea)|-|-|-|-|-
june_26_2021|St. Elizabeth|yam|yellow|-|-|-|-|-
june_26_2021|Westmoreland|broccoli|local|-|-|-|-|-
june_26_2021|Westmoreland|cabbage (green)|local|110|132|132|moderate|excellent
june_26_2021|Westmoreland|cabbage (red)|local|-|-|-|-|-
june_26_2021|Westmoreland|callaloo|shredded|-|-|-|-|-
june_26_2021|Westmoreland|callaloo|whole|110|132|110|moderate|excellent
june_26_2021|Westmoreland|cantaloupe|local|-|-|-|-|-
june_26_2021|Westmoreland|carrot|local|132|176|154|fair|excellent
june_26_2021|Westmoreland|cauliflower|local|-|-|-|-|-
june_26_2021|Westmoreland|coco|local|220|220|220|scarce|excellent
june_26_2021|Westmoreland|cucumber|local|88|132|110|moderate|excellent
june_26_2021|Westmoreland|dasheen|local|220|286|220|scarce|excellent
june_26_2021|Westmoreland|escallion|local|-|-|-|-|-
june_26_2021|Westmoreland|ginger|local|-|-|-|-|-
june_26_2021|Westmoreland|green banana|local|110|132|110|moderate|excellent
june_26_2021|Westmoreland|gungo peas|dry|-|-|-|-|-
june_26_2021|Westmoreland|gungo peas|green|-|-|-|-|-
june_26_2021|Westmoreland|honeydew melon|local|-|-|-|-|-
june_26_2021|Westmoreland|irish potato|local|-|-|-|-|-
june_26_2021|Westmoreland|lettuce|iceberg (local)|-|-|-|-|-
june_26_2021|Westmoreland|lettuce|other|-|-|-|-|-
june_26_2021|Westmoreland|lettuce|romaine (local)|-|-|-|-|-
june_26_2021|Westmoreland|okra|local|220|264|220|scarce|excellent
june_26_2021|Westmoreland|onion|local|-|-|-|-|-
june_26_2021|Westmoreland|pak choi|local|88|110|88|moderate|excellent
june_26_2021|Westmoreland|papaya|local|132|176|132|moderate|excellent
june_26_2021|Westmoreland|pepper|scotch bonnet|220|264|220|fair|excellent
june_26_2021|Westmoreland|pepper|west indian red|110|220|132|moderate|excellent
june_26_2021|Westmoreland|pineapple|cow boy|66|110|110|good|excellent
june_26_2021|Westmoreland|pineapple|md 2|110|132|132|moderate|excellent
june_26_2021|Westmoreland|pineapple|sugar loaf|-|-|-|-|-
june_26_2021|Westmoreland|plantain|green|132|176|132|moderate|excellent
june_26_2021|Westmoreland|plantain|ripe|-|-|-|-|-
june_26_2021|Westmoreland|pumpkin|local|66|110|88|fair|excellent
june_26_2021|Westmoreland|sorrel|local|-|-|-|-|-
june_26_2021|Westmoreland|string bean|local|-|-|-|-|-
june_26_2021|Westmoreland|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|Westmoreland|sweet pepper (green)|local|176|220|220|scarce|excellent
june_26_2021|Westmoreland|sweet pepper (red)|green house (local)|-|-|-|-|-
june_26_2021|Westmoreland|sweet pepper (red)|local|-|-|-|-|-
june_26_2021|Westmoreland|sweet pepper (yellow)|green house (local)|-|-|-|-|-
june_26_2021|Westmoreland|sweet pepper (yellow)|local|-|-|-|-|-
june_26_2021|Westmoreland|sweet potato|local|132|176|132|moderate|excellent
june_26_2021|Westmoreland|thyme|local|-|-|-|-|-
june_26_2021|Westmoreland|tomatoes(plummy)|local|132|176|132|scarce|excellent
june_26_2021|Westmoreland|tomatoes(salad)|local|220|220|220|fair|excellent
june_26_2021|Westmoreland|watermelon|local|-|-|-|-|-
june_26_2021|Westmoreland|yam|negro|-|-|-|-|-
june_26_2021|Westmoreland|yam|sweet|-|-|-|-|-
june_26_2021|Westmoreland|yam|white (lucea)|-|-|-|-|-
june_26_2021|Westmoreland|yam|yellow|-|-|-|-|-
june_26_2021|Hanover|broccoli|local|-|-|-|-|-
june_26_2021|Hanover|cabbage (green)|local|110|154|132|moderate|excellent
june_26_2021|Hanover|cabbage (red)|local|-|-|-|-|-
june_26_2021|Hanover|callaloo|shredded|-|-|-|-|-
june_26_2021|Hanover|callaloo|whole|66|99|88|moderate|excellent
june_26_2021|Hanover|cantaloupe|local|-|-|-|-|-
june_26_2021|Hanover|carrot|local|220|264|220|scarce|excellent
june_26_2021|Hanover|cauliflower|local|-|-|-|-|-
june_26_2021|Hanover|coco|local|176|264|220|moderate|excellent
june_26_2021|Hanover|cucumber|local|110|132|110|moderate|excellent
june_26_2021|Hanover|dasheen|local|154|220|176|moderate|excellent
june_26_2021|Hanover|escallion|local|-|-|-|-|-
june_26_2021|Hanover|ginger|local|308|440|330|moderate|excellent
june_26_2021|Hanover|green banana|local|110|154|132|moderate|excellent
june_26_2021|Hanover|gungo peas|dry|-|-|-|-|-
june_26_2021|Hanover|gungo peas|green|-|-|-|-|-
june_26_2021|Hanover|honeydew melon|local|-|-|-|-|-
june_26_2021|Hanover|irish potato|local|-|-|-|-|-
june_26_2021|Hanover|lettuce|iceberg (local)|-|-|-|-|-
june_26_2021|Hanover|lettuce|other|-|-|-|-|-
june_26_2021|Hanover|lettuce|romaine (local)|-|-|-|-|-
june_26_2021|Hanover|okra|local|198|264|220|moderate|excellent
june_26_2021|Hanover|onion|local|-|-|-|-|-
june_26_2021|Hanover|pak choi|local|55|99|88|moderate|excellent
june_26_2021|Hanover|papaya|local|-|-|-|-|-
june_26_2021|Hanover|pepper|scotch bonnet|308|440|330|moderate|excellent
june_26_2021|Hanover|pepper|west indian red|132|198|154|moderate|excellent
june_26_2021|Hanover|pineapple|cow boy|110|154|132|moderate|excellent
june_26_2021|Hanover|pineapple|md 2|-|-|-|-|-
june_26_2021|Hanover|pineapple|sugar loaf|-|-|-|-|-
june_26_2021|Hanover|plantain|green|132|154|154|moderate|excellent
june_26_2021|Hanover|plantain|ripe|-|-|-|-|-
june_26_2021|Hanover|pumpkin|local|88|132|110|moderate|excellent
june_26_2021|Hanover|sorrel|local|-|-|-|-|-
june_26_2021|Hanover|string bean|local|308|440|330|moderate|excellent
june_26_2021|Hanover|sweet pepper (green)|green house (local)|-|-|-|-|-
june_26_2021|Hanover|sweet pepper (green)|local|132|176|154|moderate|excellent
june_26_2021|Hanover|sweet pepper (red)|green house (local)|-|-|-|-|-
june_26_2021|Hanover|sweet pepper (red)|local|-|-|-|-|-
june_26_2021|Hanover|sweet pepper (yellow)|green house (local)|-|-|-|-|-
june_26_2021|Hanover|sweet pepper (yellow)|local|-|-|-|-|-
june_26_2021|Hanover|sweet potato|local|198|308|220|moderate|excellent
june_26_2021|Hanover|thyme|local|-|-|-|-|-
june_26_2021|Hanover|tomatoes(plummy)|local|66|110|110|moderate|excellent
june_26_2021|Hanover|tomatoes(salad)|local|110|154|132|moderate|excellent
june_26_2021|Hanover|watermelon|local|-|-|-|-|-
june_26_2021|Hanover|yam|negro|-|-|-|-|-
june_26_2021|Hanover|yam|sweet|-|-|-|-|-
june_26_2021|Hanover|yam|white (lucea)|220|264|264|moderate|excellent
june_26_2021|Hanover|yam|yellow|220|264|220|moderate|excellent
june_26_2021|St. James|broccoli|local|-|-|-|-|-
june_26_2021|St. James|cabbage (green)|local|110|132|132|scarce|excellent
june_26_2021|St. James|cabbage (red)|local|-|-|-|-|-
june_26_2021|St. James|callaloo|shredded|-|-|-|-|-
june_26_2021|St. James|callaloo|whole|88|132|88|fair|excellent
