date|parish|commodity|variety source|low|high|most frequent|supply|grade
march_06_2021|St. Andrew|tomatoes(salad)|local|88|132|88|fair|excellent
march_06_2021|St. Andrew|watermelon|local|-|-|-|-|-
march_06_2021|St. Andrew|yam|negro|-|-|-|-|-
march_06_2021|St. Andrew|yam|sweet|-|-|-|-|-
march_06_2021|St. Andrew|yam|white (lucea)|-|-|-|-|-
march_06_2021|St. Andrew|yam|yellow|-|-|-|-|-
march_06_2021|St. Catherine|broccoli|local|-|-|-|-|-
march_06_2021|St. Catherine|cabbage (green)|local|132|220|176|scarce|excellent
march_06_2021|St. Catherine|cabbage (red)|local|-|-|-|-|-
march_06_2021|St. Catherine|callaloo|shredded|-|-|-|-|-
march_06_2021|St. Catherine|callaloo|whole|33|44|44|moderate|excellent
march_06_2021|St. Catherine|cantaloupe|local|-|-|-|-|-
march_06_2021|St. Catherine|carrot|local|220|220|220|scarce|excellent
march_06_2021|St. Catherine|cauliflower|local|-|-|-|-|-
march_06_2021|St. Catherine|coco|local|176|176|176|moderate|excellent
march_06_2021|St. Catherine|cucumber|local|66|132|66|scarce|excellent
march_06_2021|St. Catherine|dasheen|local|220|220|220|scarce|excellent
march_06_2021|St. Catherine|escallion|local|-|-|-|-|-
march_06_2021|St. Catherine|ginger|local|440|440|440|moderate|excellent
march_06_2021|St. Catherine|green banana|local|55|55|55|scarce|excellent
march_06_2021|St. Catherine|gungo peas|dry|-|-|-|-|-
march_06_2021|St. Catherine|gungo peas|green|200|220|210|moderate|excellent
march_06_2021|St. Catherine|honeydew melon|local|-|-|-|-|-
march_06_2021|St. Catherine|irish potato|local|132|154|143|scarce|excellent
march_06_2021|St. Catherine|lettuce|iceberg (local)|264|264|264|scarce|excellent
march_06_2021|St. Catherine|lettuce|other|-|-|-|-|-
march_06_2021|St. Catherine|lettuce|romaine (local)|-|-|-|-|-
march_06_2021|St. Catherine|okra|local|110|154|132|moderate|excellent
march_06_2021|St. Catherine|onion|local|-|-|-|-|-
march_06_2021|St. Catherine|pak choi|local|-|-|-|-|-
march_06_2021|St. Catherine|papaya|local|-|-|-|-|-
march_06_2021|St. Catherine|pepper|scotch bonnet|440|440|440|scarce|excellent
march_06_2021|St. Catherine|pepper|west indian red|154|176|165|moderate|excellent
march_06_2021|St. Catherine|pineapple|cow boy|-|-|-|-|-
march_06_2021|St. Catherine|pineapple|md 2|-|-|-|-|-
march_06_2021|St. Catherine|pineapple|sugar loaf|-|-|-|-|-
march_06_2021|St. Catherine|plantain|green|180|180|180|moderate|excellent
march_06_2021|St. Catherine|plantain|ripe|-|-|-|-|-
march_06_2021|St. Catherine|pumpkin|local|154|176|176|moderate|excellent
march_06_2021|St. Catherine|sorrel|local|-|-|-|-|-
march_06_2021|St. Catherine|string bean|local|-|-|-|-|-
march_06_2021|St. Catherine|sweet pepper (green)|green house (local)|-|-|-|-|-
march_06_2021|St. Catherine|sweet pepper (green)|local|264|440|330|scarce|excellent
march_06_2021|St. Catherine|sweet pepper (red)|green house (local)|-|-|-|-|-
march_06_2021|St. Catherine|sweet pepper (red)|local|-|-|-|-|-
march_06_2021|St. Catherine|sweet pepper (yellow)|green house (local)|-|-|-|-|-
march_06_2021|St. Catherine|sweet pepper (yellow)|local|-|-|-|-|-
march_06_2021|St. Catherine|sweet potato|local|110|154|143|moderate|excellent
march_06_2021|St. Catherine|thyme|local|-|-|-|-|-
march_06_2021|St. Catherine|tomatoes(plummy)|local|33|110|44|scarce|excellent
march_06_2021|St. Catherine|tomatoes(salad)|local|66|88|77|moderate|excellent
march_06_2021|St. Catherine|watermelon|local|-|-|-|-|-
