"Ministry of Industry,
Commerce, Agriculture
& Fisheries"||||"Farmgate Prices (J$/Kg)
Week Ending November 28, 2020"||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||Manchester|||||||||St. Andrew|||||
||||||||||||||||||||
||||||Low||High||"Most
Frequent"|Supply|||Grade|Low|High|"Most
Frequent"|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
||||||||||||||||||||
Broccoli||Local||||-||-||-|-|||-|1100|1100|1100|Fair||Excellent
||||||||||||||||||||
Cabbage (Green)||Local||||264||330||330|Moderate|||Excellent|220|264|264|Fair||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||-||-||-|-|||-|110|132|132|Fair||Excellent
Cantaloupe||Local||||-||-||-|-|||-|-|-|-|-||-
Carrot||Local||||484||616||550|Scarce|||Excellent|550|550|550|Fair||Excellent
Cauliflower||Local||||-||-||-|-|||-|-|-|-|-||-
Coco||Local||||154||198||176|Scarce|||Excellent|-|-|-|-||-
Cucumber||Local||||132||176||132|Scarce|||Excellent|-|-|-|-||-
Dasheen||Local||||-||-||-|-|||-|-|-|-|-||-
Escallion||Local||||440||550||495|Moderate|||Excellent|550|660|660|Fair||Excellent
Ginger||Local||||-||-||-|-|||-|-|-|-|-||-
Green Banana||Local||||33||44||38.5|Moderate|||Excellent|88|110|110|Fair||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||-||-||-|-|||-|-|-|-|-||-
Honeydew Melon||Local||||-||-||-|-|||-|-|-|-|-||-
Irish Potato||Local||||220||264||242|Scarce|||Excellent|-|-|-|-||-
Lettuce||Iceberg (Local)||||-||-||-|-|||-|880|990|880|Fair||Excellent
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||880||1320||1320|Moderate|||Excellent|-|-|-|-||-
Okra||Local||||-||-||-|-|||-|-|-|-|-||-
Onion||Local||||-||-||-|-|||-|-|-|-|-||-
Pak Choi||Local||||-||-||-|-|||-|-|-|-|-||-
Papaya||Local||||-||-||-|-|||-|-|-|-|-||-
Pepper||Scotch Bonnet||||396||440||418|Moderate|||Excellent|550|660|605|Fair||Excellent
Pepper||West Indian Red||||132||198||132|Moderate|||Excellent|-|-|-|-||-
Pineapple||Cow Boy||||-||-||-|-|||-|-|-|-|-||-
Pineapple||MD 2||||-||-||-|-|||-|-|-|-|-||-
Pineapple||Sugar Loaf||||-||-||-|-|||-|-|-|-|-||-
Plantain||Green||||55||66||60.5|Moderate|||Excellent|110|132|121|Fair||Excellent
Plantain||Ripe||||88||132||110|Moderate|||Excellent|-|-|-|-||-
Pumpkin||Local||||55||66||60.5|Fair|||Excellent|55|66|66|Fair||Excellent
Sorrel||Local||||-||-||-|-|||-|330|440|330|Fair||Excellent
String Bean||Local||||440||550||495|Scarce|||Excellent|440|550|440|Fair||Excellent
Sweet Pepper (Green)||Green House (Local)||||770||880||825|Scarce|||Excellent|-|-|-|-||-
