"Ministry of Industry,
Commerce, Agriculture
& Fisheries"||||"Farmgate Prices (J$/Kg)
Week Ending June 26, 2021"||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||Manchester|||||||||St. Andrew|||||
||||||||||||||||||||
||||||Low||High||"Most
Frequent"|Supply|||Grade|Low|High|"Most
Frequent"|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
||||||||||||||||||||
Broccoli||Local||||880||1100||880|Scarce|||Excellent|1320|1320|1320|Fair||Excellent
||||||||||||||||||||
Cabbage (Green)||Local||||110||176||132|Moderate|||Excellent|110|132|132|Fair||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||88||110||99|Moderate|||Excellent|132|154|132|Fair||Excellent
Cantaloupe||Local||||176||220||220|Moderate|||Excellent|-|-|-|-||-
Carrot||Local||||88||154||132|Fair|||Excellent|176|220|176|Fair||Excellent
Cauliflower||Local||||330||440||440|Moderate|||Excellent|660|660|660|Fair||Excellent
Coco||Local||||-||-||-|-|||-|-|-|-|-||-
Cucumber||Local||||110||132||121|Moderate|||Excellent|-|-|-|-||-
Dasheen||Local||||-||-||-|-|||-|-|-|-|-||-
Escallion||Local||||110||154||132|Fair|||Excellent|176|264|176|Fair||Excellent
Ginger||Local||||-||-||-|-|||-|440|440|440|Fair||Excellent
Green Banana||Local||||33||55||44|Moderate|||Excellent|132|132|132|Fair||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||-||-||-|-|||-|-|-|-|-||-
Honeydew Melon||Local||||-||-||-|-|||-|-|-|-|-||-
Irish Potato||Local||||220||264||220|Moderate|||Excellent|220|264|220|Fair||Excellent
Lettuce||Iceberg (Local)||||440||550||495|Scarce|||Excellent|440|440|440|Fair||Excellent
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||550||660||605|Scarce|||Excellent|-|-|-|-||-
Okra||Local||||-||-||-|-|||-|-|-|-|-||-
Onion||Local||||-||-||-|-|||-|-|-|-|-||-
Pak Choi||Local||||132||154||143|Moderate|||Excellent|-|-|-|-||-
Papaya||Local||||-||-||-|-|||-|-|-|-|-||-
Pepper||Scotch Bonnet||||154||220||176|Moderate|||Excellent|220|264|220|Fair||Excellent
Pepper||West Indian Red||||110||132||121|Moderate|||Excellent|-|-|-|-||-
Pineapple||Cow Boy||||-||-||-|-|||-|-|-|-|-||-
Pineapple||MD 2||||-||-||-|-|||-|-|-|-|-||-
Pineapple||Sugar Loaf||||-||-||-|-|||-|-|-|-|-||-
Plantain||Green||||66||110||88|Moderate|||Excellent|132|154|132|Fair||Excellent
Plantain||Ripe||||110||154||132|Moderate|||Excellent|-|-|-|-||-
Pumpkin||Local||||88||110||99|Moderate|||Excellent|66|110|66|Fair||Excellent
Sorrel||Local||||-||-||-|-|||-|-|-|-|-||-
String Bean||Local||||286||440||363|Scarce|||Excellent|-|-|-|-||-
Sweet Pepper (Green)||Green House (Local)||||-||-||-|-|||-|-|-|-|-||-
