september_04_2021|cross_roads|Yam|Sweet||n/a|
september_04_2021|cross_roads|Yam|White (Lucea)|660|660|660
september_04_2021|cross_roads|Yam|Yellow|660|660|660
september_04_2021|cross_roads|||||
september_04_2021|coronation|Broccoli|Local||n/a|
september_04_2021|coronation|Cabbage (Green)|Local|286|396|330
september_04_2021|coronation|Cabbage (Red)|Local||n/a|
september_04_2021|coronation|Callaloo|Shredded|440|550|495
september_04_2021|coronation|Callaloo|Whole|154|154|154
september_04_2021|coronation|Cantaloupe|Local|220|330|271.33
september_04_2021|coronation|Carrot|Local|176|264|198
september_04_2021|coronation|Cauliflower|Local|550|880|550
september_04_2021|coronation|Coco|Local|220|220|220
september_04_2021|coronation|Cucumber|Local|110|176|110
september_04_2021|coronation|Dasheen|Local|308|308|308
september_04_2021|coronation|Escallion|Local|220|352|330
september_04_2021|coronation|Ginger|Local|660|880|715
september_04_2021|coronation|Green Banana|Local|77|77|77
september_04_2021|coronation|Gungo Peas|Dry|440|550|440
september_04_2021|coronation|Gungo Peas|Green||n/a|
september_04_2021|coronation|Honeydew Melon|Local||n/a|
september_04_2021|coronation|Irish Potato|Local||n/a|
september_04_2021|coronation|Lettuce|Iceberg (Local)|440|440|440
september_04_2021|coronation|Lettuce|Other||n/a|
september_04_2021|coronation|Lettuce|Romaine (Local)||n/a|
september_04_2021|coronation|Okra|Local|264|330|264
september_04_2021|coronation|Onion|Local||n/a|
september_04_2021|coronation|Pak Choi|Local|176|220|220
september_04_2021|coronation|Papaya|Local|264|330|264
september_04_2021|coronation|Pepper|Scotch Bonnet|440|550|440
september_04_2021|coronation|Pepper|West Indian Red|330|330|330
september_04_2021|coronation|Pineapple|Cow Boy|220|330|220
september_04_2021|coronation|Pineapple|MD 2||n/a|
september_04_2021|coronation|Pineapple|Sugar Loaf||n/a|
september_04_2021|coronation|Plantain|Green|154|154|154
september_04_2021|coronation|Plantain|Ripe|154|154|154
september_04_2021|coronation|Pumpkin|Local|176|264|220
september_04_2021|coronation|Sorrel|Local||n/a|
september_04_2021|coronation|String Bean|Local|440|440|440
september_04_2021|coronation|Sweet Pepper (Green)|Green House (Local)||n/a|
september_04_2021|coronation|Sweet Pepper (Green)|Local|440|440|440
september_04_2021|coronation|Sweet Pepper (Red)|Green House (Local)||n/a|
september_04_2021|coronation|Sweet Pepper (Red)|Local||n/a|
september_04_2021|coronation|Sweet Pepper (Yellow)|Green House (Local)||n/a|
september_04_2021|coronation|Sweet Pepper (Yellow)|Local||n/a|
september_04_2021|coronation|Sweet Potato|Local|220|264|220
september_04_2021|coronation|Thyme|Local|1100|1100|1100
september_04_2021|coronation|Tomatoes(Plummy)|Local|440|440|440
september_04_2021|coronation|Tomatoes(Salad)|Local|506|550|528
september_04_2021|coronation|Watermelon|Local|110|220|110
september_04_2021|coronation|Yam|Negro||n/a|
september_04_2021|coronation|Yam|Sweet||n/a|
september_04_2021|coronation|Yam|White (Lucea)|330|330|330
september_04_2021|coronation|Yam|Yellow|396|396|396
september_04_2021|coronation|||||
