"Ministry of Industry,
Commerce, Agriculture
& Fisheries"||||"Farmgate Prices (J$/Kg)
Week Ending July 31, 2021"||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||||||||||||||||
||||||Manchester|||||||||St. Andrew|||||
||||||||||||||||||||
||||||Low||High||"Most
Frequent"|Supply|||Grade|Low|High|"Most
Frequent"|Supply||Grade
Commodity||Variety / Source||||||||||||||||||
||||||||||||||||||||
Broccoli||Local||||-||-||-|-|||-|880|1100|1100|Fair||Excellent
||||||||||||||||||||
Cabbage (Green)||Local||||110||154||154|Moderate|||Excellent|154|176|154|Fair||Excellent
Cabbage (Red)||Local||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Shredded||||-||-||-|-|||-|-|-|-|-||-
Callaloo||Whole||||77||99||88|Moderate|||Excellent|132|132|132|Fair||Excellent
Cantaloupe||Local||||176||220||176|Moderate|||Excellent|-|-|-|-||-
Carrot||Local||||88||110||99|Fair|||Excellent|110|132|110|Fair||Excellent
Cauliflower||Local||||440||550||484|Moderate|||Excellent|440|550|440|Fair||Excellent
Coco||Local||||242||308||275|Moderate|||Excellent|-|-|-|-||-
Cucumber||Local||||66||110||77|Moderate|||Excellent|66|66|66|Fair||Excellent
Dasheen||Local||||-||-||-|-|||-|-|-|-|-||-
Escallion||Local||||132||154||143|Fair|||Excellent|176|220|176|Fair||Excellent
Ginger||Local||||-||-||-|-|||-|-|-|-|-||-
Green Banana||Local||||44||55||49.5|Moderate|||Excellent|132|154|132|Fair||Excellent
Gungo Peas||Dry||||-||-||-|-|||-|-|-|-|-||-
Gungo Peas||Green||||-||-||-|-|||-|-|-|-|-||-
Honeydew Melon||Local||||-||-||-|-|||-|-|-|-|-||-
Irish Potato||Local||||308||330||319|Moderate|||Excellent|-|-|-|-||-
Lettuce||Iceberg (Local)||||484||550||517|Scarce|||Excellent|660|770|660|Fair||Excellent
Lettuce||Other||||-||-||-|-|||-|-|-|-|-||-
Lettuce||Romaine (Local)||||-||-||-|-|||-|-|-|-|-||-
Okra||Local||||-||-||-|-|||-|-|-|-|-||-
Onion||Local||||-||-||-|-|||-|-|-|-|-||-
Pak Choi||Local||||-||-||-|-|||-|-|-|-|-||-
Papaya||Local||||-||-||-|-|||-|-|-|-|-||-
Pepper||Scotch Bonnet||||176||264||220|Moderate|||Excellent|264|330|330|Fair||Excellent
Pepper||West Indian Red||||110||154||110|Moderate|||Excellent|-|-|-|-||-
Pineapple||Cow Boy||||-||-||-|-|||-|-|-|-|-||-
Pineapple||MD 2||||-||-||-|-|||-|-|-|-|-||-
Pineapple||Sugar Loaf||||-||-||-|-|||-|110|132|110|Fair||Excellent
Plantain||Green||||88||154||110|Moderate|||Excellent|154|176|154|Fair||Excellent
Plantain||Ripe||||110||154||110|Moderate|||Excellent|-|-|-|-||-
Pumpkin||Local||||66||110||66|Moderate|||Excellent|110|132|110|Fair||Excellent
Sorrel||Local||||-||-||-|-|||-|-|-|-|-||-
String Bean||Local||||330||440||396|Scarce|||Excellent|264|264|264|Fair||Excellent
Sweet Pepper (Green)||Green House (Local)||||264||308||308|Moderate|||Excellent|-|-|-|-||-
