date|commodity|variety-source|region|store|price
september_04_2021|Callaloo|Whole|waterloo road|mega mart|380
september_04_2021|Callaloo|Whole|new kingston|John R Wong|-
september_04_2021|Callaloo|Whole|halfway tree|Brooklyn|-
september_04_2021|Callaloo|Whole|halfway tree|hi-lo|303
september_04_2021|Callaloo|Whole|washington boulevard|shopper's fair|231
september_04_2021|Callaloo|Whole|Duhaney Park|shopper's fair|-
september_04_2021|Callaloo|Whole|barbican road|Loshusan|330
september_04_2021|Callaloo|Whole|barbican road|hi-lo|303
september_04_2021|Callaloo|Whole|constant spring|hi-lo|229
september_04_2021|Callaloo|Whole|harbour view|shoppers fair|231
september_04_2021|Callaloo|Whole|red hills road|lee's food|-
september_04_2021|Callaloo|Whole|red hills road|price smart|-
september_04_2021|Callaloo|Whole|portmore|mega mart|380
september_04_2021|Callaloo|Whole|portmore|hi-lo|303
september_04_2021|Cantaloupe|Imported|cross roads|sampars|-
september_04_2021|Cantaloupe|Imported|cross roads|hi-lo|-
september_04_2021|Cantaloupe|Imported|waterloo road|mega mart|1155
september_04_2021|Cantaloupe|Imported|new kingston|John R Wong|-
september_04_2021|Cantaloupe|Imported|halfway tree|Brooklyn|-
september_04_2021|Cantaloupe|Imported|halfway tree|hi-lo|-
september_04_2021|Cantaloupe|Imported|washington boulevard|shopper's fair|-
september_04_2021|Cantaloupe|Imported|Duhaney Park|shopper's fair|-
september_04_2021|Cantaloupe|Imported|barbican road|Loshusan|-
september_04_2021|Cantaloupe|Imported|barbican road|hi-lo|791
september_04_2021|Cantaloupe|Imported|constant spring|hi-lo|791
september_04_2021|Cantaloupe|Imported|harbour view|shoppers fair|-
september_04_2021|Cantaloupe|Imported|red hills road|lee's food|660
september_04_2021|Cantaloupe|Imported|red hills road|price smart|-
september_04_2021|Cantaloupe|Imported|portmore|mega mart|-
september_04_2021|Cantaloupe|Imported|portmore|hi-lo|-
september_04_2021|Cantaloupe|Local|cross roads|sampars|-
september_04_2021|Cantaloupe|Local|cross roads|hi-lo|-
september_04_2021|Cantaloupe|Local|waterloo road|mega mart|-
september_04_2021|Cantaloupe|Local|new kingston|John R Wong|660
september_04_2021|Cantaloupe|Local|halfway tree|Brooklyn|852.45
september_04_2021|Cantaloupe|Local|halfway tree|hi-lo|517
september_04_2021|Cantaloupe|Local|washington boulevard|shopper's fair|495
september_04_2021|Cantaloupe|Local|Duhaney Park|shopper's fair|-
september_04_2021|Cantaloupe|Local|barbican road|Loshusan|-
september_04_2021|Cantaloupe|Local|barbican road|hi-lo|-
september_04_2021|Cantaloupe|Local|constant spring|hi-lo|-
september_04_2021|Cantaloupe|Local|harbour view|shoppers fair|-
september_04_2021|Cantaloupe|Local|red hills road|lee's food|-
september_04_2021|Cantaloupe|Local|red hills road|price smart|439
september_04_2021|Cantaloupe|Local|portmore|mega mart|-
september_04_2021|Cantaloupe|Local|portmore|hi-lo|-
september_04_2021|Carrot|Local|cross roads|sampars|797.5
september_04_2021|Carrot|Local|cross roads|hi-lo|838
september_04_2021|Carrot|Local|waterloo road|mega mart|722
september_04_2021|Carrot|Local|new kingston|John R Wong|660
september_04_2021|Carrot|Local|halfway tree|Brooklyn|579.67
september_04_2021|Carrot|Local|halfway tree|hi-lo|838
september_04_2021|Carrot|Local|washington boulevard|shopper's fair|594
september_04_2021|Carrot|Local|Duhaney Park|shopper's fair|660
september_04_2021|Carrot|Local|barbican road|Loshusan|990
september_04_2021|Carrot|Local|barbican road|hi-lo|838
september_04_2021|Carrot|Local|constant spring|hi-lo|862
september_04_2021|Carrot|Local|harbour view|shoppers fair|594
september_04_2021|Carrot|Local|red hills road|lee's food|709.88
september_04_2021|Carrot|Local|red hills road|price smart|695.58
september_04_2021|Carrot|Local|portmore|mega mart|722
september_04_2021|Carrot|Local|portmore|hi-lo|838
september_04_2021|Cauliflower|Imported|cross roads|sampars|-
september_04_2021|Cauliflower|Imported|cross roads|hi-lo|1909
september_04_2021|Cauliflower|Imported|waterloo road|mega mart|2130
september_04_2021|Cauliflower|Imported|new kingston|John R Wong|-
september_04_2021|Cauliflower|Imported|halfway tree|Brooklyn|-
september_04_2021|Cauliflower|Imported|halfway tree|hi-lo|1909
september_04_2021|Cauliflower|Imported|washington boulevard|shopper's fair|-
september_04_2021|Cauliflower|Imported|Duhaney Park|shopper's fair|-
september_04_2021|Cauliflower|Imported|barbican road|Loshusan|-
september_04_2021|Cauliflower|Imported|barbican road|hi-lo|1909
september_04_2021|Cauliflower|Imported|constant spring|hi-lo|-
september_04_2021|Cauliflower|Imported|harbour view|shoppers fair|-
september_04_2021|Cauliflower|Imported|red hills road|lee's food|1150
september_04_2021|Cauliflower|Imported|red hills road|price smart|-
september_04_2021|Cauliflower|Imported|portmore|mega mart|2130
september_04_2021|Cauliflower|Imported|portmore|hi-lo|-
september_04_2021|Cauliflower|Local|cross roads|sampars|1595
september_04_2021|Cauliflower|Local|cross roads|hi-lo|-
september_04_2021|Cauliflower|Local|waterloo road|mega mart|1335
september_04_2021|Cauliflower|Local|new kingston|John R Wong|1319
september_04_2021|Cauliflower|Local|halfway tree|Brooklyn|1584
september_04_2021|Cauliflower|Local|halfway tree|hi-lo|-
september_04_2021|Cauliflower|Local|washington boulevard|shopper's fair|1485
september_04_2021|Cauliflower|Local|Duhaney Park|shopper's fair|1484.9
september_04_2021|Cauliflower|Local|barbican road|Loshusan|1485
september_04_2021|Cauliflower|Local|barbican road|hi-lo|1369
september_04_2021|Cauliflower|Local|constant spring|hi-lo|1368
september_04_2021|Cauliflower|Local|harbour view|shoppers fair|1435
september_04_2021|Cauliflower|Local|red hills road|lee's food|-
september_04_2021|Cauliflower|Local|red hills road|price smart|829
september_04_2021|Cauliflower|Local|portmore|mega mart|-
september_04_2021|Cauliflower|Local|portmore|hi-lo|-
september_04_2021|Coco|Local|cross roads|sampars|-
september_04_2021|Coco|Local|cross roads|hi-lo|-
september_04_2021|Coco|Local|waterloo road|mega mart|570
september_04_2021|Coco|Local|new kingston|John R Wong|660
september_04_2021|Coco|Local|halfway tree|Brooklyn|579.7
september_04_2021|Coco|Local|halfway tree|hi-lo|-
september_04_2021|Coco|Local|washington boulevard|shopper's fair|561
september_04_2021|Coco|Local|Duhaney Park|shopper's fair|-
september_04_2021|Coco|Local|barbican road|Loshusan|-
september_04_2021|Coco|Local|barbican road|hi-lo|547
september_04_2021|Coco|Local|constant spring|hi-lo|547
september_04_2021|Coco|Local|harbour view|shoppers fair|593.97
september_04_2021|Coco|Local|red hills road|lee's food|462
september_04_2021|Coco|Local|red hills road|price smart|-
september_04_2021|Coco|Local|portmore|mega mart|-
september_04_2021|Coco|Local|portmore|hi-lo|-
september_04_2021|Cucumber|Local|cross roads|sampars|319
september_04_2021|Cucumber|Local|cross roads|hi-lo|377
september_04_2021|Cucumber|Local|waterloo road|mega mart|465
september_04_2021|Cucumber|Local|new kingston|John R Wong|363
september_04_2021|Cucumber|Local|halfway tree|Brooklyn|238.69
september_04_2021|Cucumber|Local|halfway tree|hi-lo|377
september_04_2021|Cucumber|Local|washington boulevard|shopper's fair|231
september_04_2021|Cucumber|Local|Duhaney Park|shopper's fair|428.9
september_04_2021|Cucumber|Local|barbican road|Loshusan|363
september_04_2021|Cucumber|Local|barbican road|hi-lo|377
september_04_2021|Cucumber|Local|constant spring|hi-lo|147
september_04_2021|Cucumber|Local|harbour view|shoppers fair|-
september_04_2021|Cucumber|Local|red hills road|lee's food|308
september_04_2021|Cucumber|Local|red hills road|price smart|349
september_04_2021|Cucumber|Local|portmore|mega mart|465
september_04_2021|Cucumber|Local|portmore|hi-lo|377
september_04_2021|Dasheen|Local|cross roads|sampars|669
september_04_2021|Dasheen|Local|cross roads|hi-lo|682.76
september_04_2021|Dasheen|Local|waterloo road|mega mart|675
september_04_2021|Dasheen|Local|new kingston|John R Wong|660
september_04_2021|Dasheen|Local|halfway tree|Brooklyn|545.6
september_04_2021|Dasheen|Local|halfway tree|hi-lo|472
september_04_2021|Dasheen|Local|washington boulevard|shopper's fair|495
september_04_2021|Dasheen|Local|Duhaney Park|shopper's fair|-
september_04_2021|Dasheen|Local|barbican road|Loshusan|-
september_04_2021|Dasheen|Local|barbican road|hi-lo|682.76
september_04_2021|Dasheen|Local|constant spring|hi-lo|682.76
september_04_2021|Dasheen|Local|harbour view|shoppers fair|-
september_04_2021|Dasheen|Local|red hills road|lee's food|554.4
september_04_2021|Dasheen|Local|red hills road|price smart|-
september_04_2021|Dasheen|Local|portmore|mega mart|-
september_04_2021|Dasheen|Local|portmore|hi-lo|-
september_04_2021|Escallion|Local|cross roads|sampars|660
september_04_2021|Escallion|Local|cross roads|hi-lo|626
september_04_2021|Escallion|Local|waterloo road|mega mart|565
september_04_2021|Escallion|Local|new kingston|John R Wong|444
september_04_2021|Escallion|Local|halfway tree|Brooklyn|511.47
september_04_2021|Escallion|Local|halfway tree|hi-lo|625
september_04_2021|Escallion|Local|washington boulevard|shopper's fair|495
september_04_2021|Escallion|Local|Duhaney Park|shopper's fair|495
september_04_2021|Escallion|Local|barbican road|Loshusan|444
september_04_2021|Escallion|Local|barbican road|hi-lo|626
september_04_2021|Escallion|Local|constant spring|hi-lo|1000
september_04_2021|Escallion|Local|harbour view|shoppers fair|-
september_04_2021|Escallion|Local|red hills road|lee's food|594
september_04_2021|Escallion|Local|red hills road|price smart|779
september_04_2021|Escallion|Local|portmore|mega mart|565
september_04_2021|Escallion|Local|portmore|hi-lo|626
september_04_2021|Ginger|Imported|cross roads|sampars|-
september_04_2021|Ginger|Imported|cross roads|hi-lo|-
september_04_2021|Ginger|Imported|waterloo road|mega mart|-
september_04_2021|Ginger|Imported|new kingston|John R Wong|-
september_04_2021|Ginger|Imported|halfway tree|Brooklyn|-
september_04_2021|Ginger|Imported|halfway tree|hi-lo|-
september_04_2021|Ginger|Imported|washington boulevard|shopper's fair|-
september_04_2021|Ginger|Imported|Duhaney Park|shopper's fair|-
september_04_2021|Ginger|Imported|barbican road|Loshusan|-
september_04_2021|Ginger|Imported|barbican road|hi-lo|-
september_04_2021|Ginger|Imported|constant spring|hi-lo|-
september_04_2021|Ginger|Imported|harbour view|shoppers fair|-
september_04_2021|Ginger|Imported|red hills road|lee's food|-
