Ministry of Industry, Commerce, Agriculture & Fisheries|||||||||||"Kingston Metropolitan Region 
Retail Prices (J$/Kg)
Supermarket Prices for Produce: Week Ending February 20, 2021"|||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
|||||||CROSS ROADS|||||"WATERLOO
ROAD"|||"NEW
KINGSTON"|||"HALF-WAY
TREE"||||"WASHINGTON
BOULEVARD"||"DUHANEY
PARK"||"BARBICAN
ROAD"||||CONSTANT SPRING|||HARBOUR VIEW||RED HILLS ROAD||PORTMORE|
||||||||||||||||||||||||||||||||||||||
Commodity|||Variety/Source|||||"
Sampars"||||"Mega
Mart"|||John R Wong|||||||"Shopper's
Fair"||"Shopper's
Fair"||||||||||"Shoppers
Fair"|Lee's Food |"Price
Smart"|"Mega
Mart"|
||||||||||Hi-Lo||||||||Brooklyn||Hi-Lo||||||Loshusan|||Hi-Lo||Hi-Lo|||||||Hi-Lo
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Broccoli||||Imported||||2416.6||2332||1685|||1709.8|||1743.65||2332||2224.38||2018.42||2029|||2332||2332|||-|1555.55|1049|2140|2332
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Broccoli||||Local||||-||-||-|||-|||1760||-||1649.9||-||-|||-||-|||-|-|1259|-|-
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Cabbage (Green)||||Local||||414||677||395|||397|||246.4||564||330||329.98||396|||564||564|||264|496.03|379|395|-
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Cabbage (Red)||||Imported||||924||1245||1220|||700|||909.09||996||812.46||-||760|||1245||996|||554.8|785.38|-|1220|996
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Cabbage (Red)||||Local||||-||-||-|||-|||-||-||-||-||-|||-||-|||-|-|-|-|-
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Callaloo||||Shredded||||396||442.2||616|||462|||-||442.2||462||462||429|||363||402.6|||-|400.4|379|285|442.2
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Callaloo||||Whole||||478.5||303||380|||330|||-||303||210||230.99||-|||-||229|||-|-|-|-|-
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Cantaloupe||||Imported||||-||-||-|||-|||-||-||-||-||-|||-||-|||-|-|-|-|-
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Cantaloupe||||Local||||-||-||990|||445|||511.47||517||263||-||660|||569||569|||-|661.38|439|-|-
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
Carrot||||Local||||797.5||753||650|||594|||579.67||677||594||593.97||660|||677||677|||495|555.55|640.33|650|677
||||||||||||||||||||||||||||||||||||||
||||||||||||||||||||||||||||||||||||||
